Year,Tournament,Venue,Result,Notes
2004.0,World Junior Championships,"Grosseto , Italy",4th,Heptathlon
2006.0,Hypo-Meeting,"Götzis , Austria",19th,Heptathlon
2006.0,European Championships,"Gothenburg , Sweden",21st,Heptathlon
2007.0,European Indoor Championships,"Birmingham , England",11th,Pentathlon
2007.0,Hypo-Meeting,"Götzis , Austria",21st,Heptathlon
2007.0,World Championships,"Osaka, Japan",DNF,Heptathlon
2008.0,Hypo-Meeting,"Götzis , Austria",12th,Heptathlon
2008.0,Olympic Games,"Beijing , PR China",18th,Heptathlon
2009.0,European Indoor Championships,"Turin , Italy",3rd,Pentathlon
2009.0,World Championships,"Berlin , Germany",7th,Heptathlon
2010.0,World Indoor Championships,"Doha , Qatar",5th,Pentathlon
2010.0,European Championships,"Barcelona , Spain",DNF,Heptathlon
2010.0,Hypo-Meeting,"Götzis , Austria",10th,Heptathlon
2011.0,European Indoor Championships,"Paris , France",1st,Pentathlon
2011.0,World Championships,"Daegu , South Korea",7th,Heptathlon
2011.0,Hypo-Meeting,"Götzis , Austria",3rd,Heptathlon
2012.0,European Championships,"Helsinki , Finland",1st,Heptathlon
2012.0,Olympic Games,"London , United Kingdom",6th,Heptathlon
2012.0,Hypo-Meeting,"Götzis , Austria",12th,Heptathlon
2012.0,Décastar,"Talence , France",2nd,Heptathlon
2013.0,European Indoor Championships,"Gothenburg , Sweden",1st,Pentathlon
2013.0,World Championships,"Moscow , Russia",8th,Heptathlon
2013.0,Hypo-Meeting,"Götzis , Austria",10th,Heptathlon
