White,Black,Year,Result,Moves,Tournament,Opening
Kramnik,Anand,1994.0,1–0,60.0,Munich,B33 Sicilian Defence
Anand,Kramnik,1998.0,½–½,40.0,Chess Classics Giants,E04 Catalan Opening
Kramnik,Anand,1998.0,½–½,38.0,Chess Classics Giants,E34 Nimzo-Indian Defence
Kramnik,Anand,1998.0,0–1,37.0,Chess Classics Giants,A35 English Opening
Kramnik,Anand,1999.0,½–½,29.0,Wijk aan Zee,E06 Catalan Opening
Anand,Kramnik,2001.0,1–0,28.0,Mainz CC Champions Duel,B33 Sicilian Defence
Kramnik,Anand,2001.0,½–½,38.0,Mainz CC Champions Duel,D27 Queen's Gambit Accepted
Kramnik,Anand,2007.0,1–0,21.0,Moscow Blitz World Championship 2007,D13 Slav Defence
Anand,Kramnik,2007.0,½–½,17.0,Moscow Blitz World Championship 2007,C65 Ruy Lopez : Berlin Defence
Kramnik,Anand,2009.0,½–½,45.0,Moscow Blitz World Championship 2009,A38 English opening
Anand,Kramnik,2009.0,1–0,40.0,Moscow Blitz World Championship 2009,B01 Scandinavian Defence
Kramnik,Anand,2013.0,1–0,52.0,Zurich Chess Challenge,A20 English opening
Anand,Kramnik,2013.0,0–1,45.0,Zurich Chess Challenge,C42 Petrov Defence
Kramnik,Anand,2013.0,½–½,43.0,Tal Memorial,A08 King's Indian Attack
