Stage,Winner,General classification,Points classification,Mountains classification,Intergiro classification,Trofeo Fast Team
1.0,Mario Cipollini,Mario Cipollini,Mario Cipollini,not awarded,Dimitri Konyshev,Saeco
2.0,Mario Cipollini,Mario Cipollini,Mario Cipollini,not awarded,Dimitri Konyshev,Saeco
3.0,Pavel Tonkov,Pavel Tonkov,Mario Cipollini,Pavel Tonkov,Dimitri Konyshev,Mapei-GB
4.0,Mario Cipollini,Pavel Tonkov,Mario Cipollini,Pavel Tonkov,Dimitri Konyshev,Mapei-GB
5.0,Pavel Tonkov,Pavel Tonkov,Mario Cipollini,Pavel Tonkov,Dimitri Konyshev,Saeco
6.0,Roberto Sgambelluri,Pavel Tonkov,Mario Cipollini,Pavel Tonkov,Dimitri Konyshev,Saeco
7.0,Marcel Wüst,Pavel Tonkov,Mario Cipollini,Pavel Tonkov,Dimitri Konyshev,Saeco
8.0,Mario Manzoni,Pavel Tonkov,Mario Cipollini,Mariano Piccoli,Dimitri Konyshev,Asics-C.G.A.
9.0,Dimitri Konyshev,Pavel Tonkov,Mario Cipollini,Mariano Piccoli,Dimitri Konyshev,Asics-C.G.A.
10.0,Mario Cipollini,Pavel Tonkov,Mario Cipollini,Mariano Piccoli,Dimitri Konyshev,Asics-C.G.A.
11.0,Gabriele Missaglia,Pavel Tonkov,Mario Cipollini,Mariano Piccoli,Dimitri Konyshev,Asics-C.G.A.
12.0,Giuseppe Di Grande,Pavel Tonkov,Mario Cipollini,Mariano Piccoli,Dimitri Konyshev,Asics-C.G.A.
13.0,Glenn Magnusson,Pavel Tonkov,Mario Cipollini,Mariano Piccoli,Dimitri Konyshev,Asics-C.G.A.
14.0,Ivan Gotti,Ivan Gotti,Mario Cipollini,José Jaime González,Dimitri Konyshev,Team Polti
15.0,Alessandro Baronti,Ivan Gotti,Mario Cipollini,José Jaime González,Dimitri Konyshev,Asics-C.G.A.
16.0,Fabiano Fontanelli,Ivan Gotti,Mario Cipollini,José Jaime González,Dimitri Konyshev,Asics-C.G.A.
17.0,Mirco Gualdi,Ivan Gotti,Mario Cipollini,José Jaime González,Dimitri Konyshev,Team Polti
18.0,Serhij Hončar,Ivan Gotti,Mario Cipollini,José Jaime González,Dimitri Konyshev,Team Polti
19.0,José Luis Rubiera,Ivan Gotti,Mario Cipollini,José Jaime González,Dimitri Konyshev,Kelme-Costa Blanca
20.0,José Jaime González,Ivan Gotti,Mario Cipollini,José Jaime González,Dimitri Konyshev,Kelme-Costa Blanca
21.0,Pavel Tonkov,Ivan Gotti,Mario Cipollini,José Jaime González,Dimitri Konyshev,Kelme-Costa Blanca
22.0,Mario Cipollini,Ivan Gotti,Mario Cipollini,José Jaime González,Dimitri Konyshev,Kelme-Costa Blanca
