Season,Player,Nationality,Team,Points,Average,Played
1985,Wilfredo Ruiz,Uruguay,Estudiantes (BB),1117.0,32.9,34.0
1986,Wilfredo Ruiz,Uruguay,Estudiantes (BB),1008.0,31.5,32.0
1987,Wilfredo Ruiz,Uruguay,Estudiantes (BB),913.0,30.4,30.0
1988,Luis González,Argentina,Atlético Echagüe,896.0,28.9,31.0
1989,Héctor Campana,Argentina,River Plate,1041.0,29.7,35.0
1990,Héctor Campana,Argentina,River Plate,1148.0,44.2,26.0
1990–91,Héctor Campana,Argentina,G.E.P.U.,1448.0,31.5,46.0
1991–92,Héctor Campana,Argentina,Atenas,1360.0,27.8,49.0
1992–93,Juan Espil,Argentina,G.E.P.U.,1672.0,28.8,58.0
1993–94,Andrew Moten,United States,Gimnasia y Esgrima (CR),896.0,29.9,30.0
1994–95,Juan Espil,Argentina,Atenas,1470.0,28.8,51.0
1995–96,Juan Espil,Argentina,Atenas,1782.0,31.3,57.0
1996–97,Charlie Burke,United States,Pico F.C.,1088.0,29.4,37.0
1997–98,Corey Allen,United States,Pico F.C.,1415.0,28.9,49.0
1998–99,John Eubanks,United States,Estudiantes (O),1060.0,25.9,41.0
1999–00,John Eubanks,United States,Estudiantes (O),1514.0,27.5,55.0
2000–01,Joseph Bunn,United States,Peñarol (MdP),1208.0,25.2,48.0
2001–02,Joseph Bunn,United States,Atenas,625.0,26.0,24.0
2002–03,Joshua Pittman,United States,Quilmes (MdP),626.0,26.1,24.0
2003–04,Joseph Bunn,United States,Peñarol (MdP),1209.0,32.7,37.0
2004–05,Paolo Quinteros,Argentina,Boca Juniors,1232.0,22.4,55.0
2005–06,Joseph Bunn,United States,Peñarol (MdP),1371.0,28.6,48.0
2006–07,Clarence Robinson,United States,Quilmes (MdP),981.0,20.4,48.0
2007–08,Leonardo Gutiérrez,Argentina,Boca Juniors,993.0,20.7,48.0
2008–09,Edward Nelson,United States,Estudiantes (BB),946.0,20.1,47.0
2009–10,David Jackson,United States,La Unión,927.0,18.9,49.0
2010–11,Joseph Bunn,United States,Argentino de Junín,882.0,19.6,45.0
2011–12,Joseph Troy Smith,United States,Club La Unión,745.0,17.3,43.0
