Year,Population (Region total),Population (Maryborough),Population (Hervey Bay),Population (Woocoo),Population (Tiaro)
1933.0,22170.0,11415.0,6835.0,777.0,3143.0
1947.0,26453.0,14395.0,8642.0,750.0,2666.0
1954.0,29587.0,17952.0,8408.0,660.0,2567.0
1961.0,30962.0,19126.0,8991.0,640.0,2205.0
1966.0,31607.0,19659.0,9271.0,567.0,2110.0
1971.0,32347.0,19257.0,10737.0,491.0,1862.0
1976.0,37118.0,21527.0,10304.0,3412.0,1875.0
1981.0,44454.0,21530.0,16402.0,4456.0,2066.0
1986.0,48308.0,22430.0,20660.0,2700.0,2518.0
1991.0,60560.0,22977.0,30867.0,3429.0,3287.0
1996.0,74210.0,24681.0,42391.0,2902.0,4236.0
2001.0,77837.0,24465.0,45959.0,2964.0,4449.0
