Rank,Nation,Gold,Silver,Bronze,Total
1.0,Russia,7.0,3.0,6.0,16.0
2.0,Ukraine,3.0,1.0,4.0,8.0
3.0,Azerbaijan,2.0,1.0,4.0,7.0
4.0,Turkey,2.0,1.0,3.0,6.0
5.0,Georgia,1.0,3.0,1.0,5.0
6.0,Bulgaria,1.0,1.0,2.0,4.0
6.0,Sweden,1.0,1.0,2.0,4.0
8.0,Armenia,1.0,1.0,0.0,2.0
9.0,Hungary,1.0,0.0,3.0,4.0
10.0,Finland,1.0,0.0,1.0,2.0
11.0,Slovakia,1.0,0.0,0.0,1.0
12.0,Belarus,0.0,3.0,2.0,5.0
13.0,France,0.0,2.0,2.0,4.0
14.0,Germany,0.0,1.0,2.0,3.0
15.0,Romania,0.0,1.0,1.0,2.0
16.0,Moldova,0.0,1.0,0.0,1.0
17.0,Greece,0.0,0.0,2.0,2.0
17.0,Poland,0.0,0.0,2.0,2.0
19.0,Albania,0.0,0.0,1.0,1.0
19.0,Denmark,0.0,0.0,1.0,1.0
19.0,Italy,0.0,0.0,1.0,1.0
19.0,Serbia,0.0,0.0,1.0,1.0
19.0,Spain,0.0,0.0,1.0,1.0
