Name,Alt name,Launch date,Mass (kg),Decay date,Perigee (km),Apogee (km),Inclination
SAMOS F2-1,1962 Delta 1,1962-02-21,1000.0,1962-03-09,169.0,220.0,81.9
SAMOS F2-2,1962 Omega 1,1962-06-18,1500.0,1963-10-30,370.0,394.0,82.1
SAMOS F2-3,OPS-0180,1963-01-16,1100.0,1969-01-09,459.0,533.0,81.8
SAMOS F2-4,OPS-1440,1963-06-29,1500.0,1969-10-26,485.0,521.0,82.3
SAMOS F3-1,OPS-3722,1964-02-28,1500.0,1969-02-19,493.0,509.0,82.0
SAMOS F3-2,OPS-3395,1964-07-02,1500.0,1969-08-07,494.0,530.0,82.0
SAMOS F3-3,OPS-3062,1964-11-04,1500.0,1969-11-05,507.0,526.0,82.0
SAMOS F3-4,OPS-8411,1965-07-17,1500.0,1968-12-18,469.0,511.0,70.1
SAMOS F3-5,OPS-1439,1966-02-09,1500.0,1969-09-26,499.0,504.0,82.0
SAMOS F3-6,OPS-1584,1966-12-29,1500.0,1969-04-05,484.0,492.0,75.0
SAMOS F3-7,OPS-1879,1967-07-25,1500.0,1969-06-05,454.0,512.0,75.0
SAMOS F3-8,OPS-1965,1968-01-17,1500.0,1970-07-07,455.0,534.0,75.1
SAMOS F3-9,OPS-0964,1968-10-05,2000.0,1971-03-26,481.0,506.0,75.0
SAMOS F3-10,OPS-8285,1969-07-31,1500.0,1973-01-04,459.0,538.0,75.0
SAMOS F3-11,OPS-8329,1970-08-26,2000.0,1975-03-26,482.0,500.0,74.9
SAMOS F3-12,OPS-8373,1971-07-16,2000.0,1978-08-31,486.0,505.0,75.0
