Heat,Lane,Name,Nationality,Time
4.0,4.0,Kirsty Coventry,Zimbabwe,2:06.76
5.0,6.0,Elizabeth Simmonds,Great Britain,2:08.66
4.0,3.0,Meagen Nay,Australia,2:08.79
3.0,5.0,Zhao Jing,China,2:08.97
3.0,3.0,Anastasia Zuyeva,Russia,2:09.01
5.0,5.0,Elizabeth Beisel,United States,2:09.02
5.0,4.0,Margaret Hoelzer,United States,2:09.12
4.0,2.0,Melissa Ingram,New Zealand,2:09.34
4.0,5.0,Alexianne Castel,France,2:09.37
3.0,4.0,Laure Manaudou,France,2:09.39
3.0,6.0,Belinda Hocking,Australia,2:09.54
5.0,3.0,Reiko Nakamura,Japan,2:09.77
5.0,7.0,Stanislava Komarova,Russia,2:09.93
4.0,6.0,Hanae Ito,Japan,2:10.05
3.0,1.0,Anja Čarman,Slovenia,2:10.49
3.0,2.0,Gemma Spofforth,Great Britain,2:10.58
3.0,7.0,Evelyn Verrasztó,Hungary,2:11.02
5.0,2.0,Nikolett Szepesi,Hungary,2:11.47
4.0,8.0,Chen Yanyan,China,2:11.95
2.0,7.0,Melanie Nocher,Ireland,2:12.29
2.0,6.0,Zuzanna Mazurek,Poland,2:12.46
4.0,7.0,Melissa Corfe,South Africa,2:12.64
5.0,8.0,Kateryna Zubkova,Ukraine,2:12.64
5.0,1.0,Escarlata Bernard,Spain,2:12.86
2.0,4.0,Lydia Morant,Spain,2:13.87
1.0,3.0,Kang Yeong-Seo,South Korea,2:14.52
1.0,5.0,Gisela Morales,Guatemala,2:14.54
2.0,8.0,Fernanda González,Mexico,2:14.64
2.0,1.0,Stella Boumi,Greece,2:14.73
3.0,8.0,Lindsay Seemann,Canada,2:15.07
2.0,3.0,Sanja Jovanović,Croatia,2:15.57
1.0,4.0,Erin Volcán,Venezuela,2:15.58
4.0,1.0,Iryna Amshennikova,Ukraine,2:15.78
2.0,5.0,Christin Zenner,Germany,2:20.28
2.0,2.0,Julia Wilkinson,Canada,DNS
