Position,Club,Played,Points,Wins,Draws,Losses,Goals for,Goals against,Goal Difference
1.0,Pontevedra CF,30.0,45.0,20.0,5.0,5.0,48.0,17.0,31.0
2.0,CD Sabadell CF,30.0,39.0,16.0,7.0,7.0,46.0,28.0,18.0
3.0,Real Gijón,30.0,38.0,13.0,12.0,5.0,61.0,32.0,29.0
4.0,Real Sociedad,30.0,32.0,13.0,6.0,11.0,60.0,44.0,16.0
5.0,RC Celta,30.0,30.0,11.0,8.0,11.0,35.0,34.0,1.0
6.0,Burgos CF,30.0,29.0,10.0,9.0,11.0,47.0,46.0,1.0
7.0,Real Santander,30.0,29.0,10.0,9.0,11.0,52.0,51.0,1.0
8.0,SD Indauchu,30.0,29.0,9.0,11.0,10.0,47.0,44.0,3.0
9.0,Baracaldo AH,30.0,28.0,11.0,6.0,13.0,41.0,44.0,-3.0
10.0,CA Osasuna,30.0,28.0,11.0,6.0,13.0,30.0,35.0,-5.0
11.0,CD Hospitalet,30.0,27.0,12.0,3.0,15.0,48.0,56.0,-8.0
12.0,UP Langreo,30.0,27.0,11.0,5.0,14.0,40.0,51.0,-11.0
13.0,CD Europa,30.0,27.0,9.0,9.0,12.0,30.0,43.0,-13.0
14.0,CF Badalona,30.0,25.0,7.0,11.0,12.0,31.0,43.0,-12.0
15.0,CD Orense,30.0,25.0,7.0,11.0,12.0,33.0,50.0,-17.0
16.0,Real Unión Club,30.0,22.0,7.0,8.0,15.0,24.0,55.0,-31.0
