Series #,Season #,Title,Directed by,Written by,Original air date,Production Code,U.S. viewers (millions)
48.0,1.0,"""In The Dark""",Paul Holohan,Hank Steinberg,"September23,2004",175301.0,21.51
49.0,2.0,"""Thou Shalt Not""",Randall Zisk,Jennifer Levin,"October7,2004",175302.0,21.31
50.0,3.0,"""Light Years""",Craig Zisk,Greg Walker,"October14,2004",175303.0,19.35
51.0,4.0,"""Upstairs Downstairs""",Timothy Busfield,"Hank Steinberg, Judy Sachs","October21,2004",175304.0,18.49
52.0,5.0,"""American Goddess""",Tony Goldwyn,Maria Maggenti,"October28,2004",175305.0,22.06
53.0,6.0,"""Nickel and Dimed, Part 1""",Martha Mitchell,David Amann,"November4,2004",175306.0,21.77
54.0,7.0,"""Nickel and Dimed, Part 2""",John F. Showalter,Jan Nash,"November11,2004",175307.0,20.46
55.0,8.0,"""Doppelgänger II""",Timothy Busfield,Hank Steinberg,"November18,2004",175308.0,19.75
56.0,9.0,"""Trials""",David Von Ancken,David H. Goodman,"November25,2004",175309.0,19.75
57.0,10.0,"""Malone v. Malone""",Hank Steinberg,Hank Steinberg,"December9,2004",175310.0,19.49
58.0,11.0,"""4.0""",Ken Collins,Jennifer Levin,"January6,2005",175311.0,23.76
59.0,12.0,"""Penitence""",Scott White,Allison Abner,"January13,2005",175312.0,18.77
60.0,13.0,"""Volcano""",John F. Showalter,Greg Walker,"February3,2005",175313.0,19.33
61.0,14.0,"""Neither Rain Nor Sleet""",Timothy Busfield,Jan Nash,"February10,2005",175314.0,19.63
62.0,15.0,"""Party Girl""",Rob Bailey,Amanda Segal Marks,"February17,2005",175315.0,21.01
63.0,16.0,"""Manhunt""",Jeannot Szwarc,David Amann,"February24,2005",175316.0,21.37
64.0,17.0,"""Lone Star""",Paul Holohan,David Mongan,"March10,2005",175317.0,23.32
65.0,18.0,"""Transitions""",Paul Holohan,David H. Goodman,"March31,2005",175318.0,21.27
66.0,19.0,"""Second Sight""",Jeff T. Thomas,Jan Nash,"April14,2005",175319.0,19.99
67.0,20.0,"""The Bogie Man""",Jeff T. Thomas,Jan Nash,"May4,2005",175320.0,11.93
68.0,21.0,"""Off the Tracks""",John F. Showalter,Greg Walker,"May5,2005",175321.0,17.92
69.0,22.0,"""John Michaels""",Hank Steinberg,Hank Steinberg,"May12,2005",175322.0,18.92
