No. in series,No. in season,Title,Directed by,Written by,Original air date,Production code
145.0,1.0,"""The City Kids""",Richard L. Bare,Jay Sommers and Dick Chevillat,"September15,1970",146.0
146.0,2.0,"""The Coming-Out Party""",Richard L. Bare,Jay Sommers and Dick Chevillat,"September22,1970",147.0
147.0,3.0,"""Jealousy""",Richard L. Bare,Jay Sommers and Dick Chevillat,"September29,1970",145.0
148.0,4.0,"""A Royal Love Story""",Richard L. Bare,Jay Sommers and Dick Chevillat,"October6,1970",149.0
149.0,5.0,"""Oliver Goes Broke""",Richard L. Bare,Jay Sommers and Dick Chevillat,"October20,1970",150.0
150.0,6.0,"""The Great Mayoralty Campaign""",Richard L. Bare,Jay Sommers and Dick Chevillat,"October27,1970",156.0
151.0,7.0,"""Eb's Double Trouble""",Richard L. Bare,Jay Sommers and Dick Chevillat,"November10,1970",148.0
152.0,8.0,"""Apple-Picking Time""",Richard L. Bare,Jay Sommers and Dick Chevillat,"November17,1970",151.0
153.0,9.0,"""Enterprising Eb""",Richard L. Bare,Jay Sommers and Dick Chevillat,"November24,1970",152.0
154.0,10.0,"""Oliver's Double""",Richard L. Bare,Dan Beaumont,"December1,1970",153.0
155.0,11.0,"""The High Cost of Loving""",Richard L. Bare,Jay Sommers and Dick Chevillat,"December8,1970",154.0
156.0,12.0,"""The Liberation Movement""",Richard L. Bare,Dick Chevillat and Dan Beaumont,"December15,1970",155.0
157.0,13.0,"""Charlie, Homer and Natasha""",Richard L. Bare,Jay Sommers and Dick Chevillat,"December22,1970",157.0
158.0,14.0,"""The Engagement Ring""",Richard L. Bare,Dick Chevillat and Dan Beaumont,"December29,1970",158.0
159.0,15.0,"""The Free Paint Job""",Richard L. Bare,Jay Sommers and Dick Chevillat,"January5,1971",159.0
160.0,16.0,"""Son of Drobny""",Richard L. Bare,Dan Beaumont,"January12,1971",160.0
161.0,17.0,"""The Wedding Deal""",Richard L. Bare,Dick Chevillat and Dan Beaumont,"January19,1971",164.0
162.0,18.0,"""Star Witness""",Richard L. Bare,Dick Chevillat and Dan Beaumont,"January26,1971",163.0
163.0,19.0,"""The Spot Remover""",Richard L. Bare,Dan Beaumont,"February2,1971",166.0
164.0,20.0,"""King Oliver I""",Richard L. Bare,Jay Sommers and Dick Chevillat,"February9,1971",170.0
165.0,21.0,"""A Girl for Drobny""",Richard L. Bare,Dick Chevillat and Dan Beaumont,"February16,1971",167.0
166.0,22.0,"""The Carpenter's Ball""",Richard L. Bare,Dick Chevillat and Dan Beaumont,"February23,1971",162.0
167.0,23.0,"""The Hole in the Porch""",Richard L. Bare,Dick Chevillat and Dan Beaumont,"March2,1971",168.0
168.0,24.0,"""Lisa the Psychologist""",Richard L. Bare,Dick Chevillat and Dan Beaumont,"March9,1971",161.0
169.0,25.0,"""Hawaiian Honeymoon""",Vincent Sherman,Jay Sommers,"March16,1971",165.0
