Week,Date,Opponent,Result,Attendance
1.0,"September 30, 1956",at Pittsburgh Steelers,L 30-13,27718.0
2.0,"October 6, 1956",at Philadelphia Eagles,L 13-9,26607.0
3.0,"October 14, 1956",Chicago Cardinals,L 31-3,25794.0
4.0,"October 21, 1956",Cleveland Browns,W 20-9,23332.0
5.0,"October 28, 1956",at Chicago Cardinals,W 17-14,30553.0
6.0,"November 11, 1956",Detroit Lions,W 18-17,28003.0
7.0,"November 18, 1956",New York Giants,W 33-7,26261.0
8.0,"November 25, 1956",at Cleveland Browns,W 20-17,22878.0
9.0,"December 2, 1956",at New York Giants,L 28-14,26261.0
10.0,"December 9, 1956",Philadelphia Eagles,W 19-17,22333.0
11.0,"December 16, 1956",Pittsburgh Steelers,L 23-0,21097.0
12.0,"December 23, 1956",at Baltimore Colts,L 19-17,32994.0
