Year,Entrant,Chassis,Engine,Points
1988.0,Larrousse Calmels,Lola LC88,Cosworth V8,0.0
1989.0,West Zakspeed Racing,Zakspeed 891,Yamaha V8,0.0
1990.0,Espo Larrousse F1,Lola LC89,Lamborghini V12,6.0
1990.0,Espo Larrousse F1,Lola 90,Lamborghini V12,6.0
1991.0,Larrousse F1,Larrousse Lola L91,Cosworth V8,1.0
1992.0,Footwork Mugen Honda,Footwork FA13,Mugen Honda V10,0.0
1993.0,Footwork Mugen Honda,Footwork FA13B,Mugen Honda V10,0.0
1993.0,Footwork Mugen Honda,Footwork FA14,Mugen Honda V10,0.0
1994.0,Sasol Jordan,Jordan 194,Hart V10,0.0
1995.0,Ligier Gitanes Blondes,Ligier JS41,Mugen Honda V10,1.0
