Player,Games,Field goals,Free throws,Points,Points per game
Arthur Karpus,15.0,29.0,80.0,138.0,9.2
William Miller,15.0,44.0,0.0,88.0,5.9
R. Jerome Dunne,12.0,24.0,0.0,48.0,4.0
Walter B. Rea,14.0,19.0,0.0,38.0,2.7
Robert Whitlock,13.0,18.0,1.0,37.0,2.8
Benjamin Weiss,7.0,8.0,9.0,25.0,3.6
Jack Williams,16.0,8.0,0.0,16.0,1.0
Kenneth LeGalley,2.0,2.0,0.0,4.0,2.0
Rex Reason,2.0,1.0,0.0,2.0,1.0
Wilford Wilson,4.0,0.0,0.0,0.0,0.0
Robert Peare,3.0,0.0,0.0,0.0,0.0
Howard Rowse,1.0,0.0,0.0,0.0,0.0
Charles Pearman,1.0,0.0,0.0,0.0,0.0
