Rank,Nation,Gold,Silver,Bronze,Total
1,South Korea,9.0,4.0,0.0,13.0
2,Spain,2.0,1.0,6.0,9.0
3,Chinese Taipei,2.0,0.0,4.0,6.0
4,Iran,2.0,0.0,0.0,2.0
5,China,1.0,1.0,2.0,4.0
6,Turkey,0.0,3.0,2.0,5.0
7,Denmark,0.0,2.0,0.0,2.0
8,Canada,0.0,1.0,2.0,3.0
9,France,0.0,1.0,1.0,2.0
9,Germany,0.0,1.0,1.0,2.0
11,Netherlands,0.0,1.0,0.0,1.0
11,Philippines,0.0,1.0,0.0,1.0
13,Australia,0.0,0.0,2.0,2.0
13,Russia,0.0,0.0,2.0,2.0
13,United States,0.0,0.0,2.0,2.0
16,Belgium,0.0,0.0,1.0,1.0
16,Chile,0.0,0.0,1.0,1.0
16,Dominican Republic,0.0,0.0,1.0,1.0
16,Germany,0.0,0.0,1.0,1.0
16,Kazakhstan,0.0,0.0,1.0,1.0
16,Morocco,0.0,0.0,1.0,1.0
16,Switzerland,0.0,0.0,1.0,1.0
16,Vietnam,0.0,0.0,1.0,1.0
Total,Total,16.0,16.0,32.0,64.0
