Discipline,Degree/Diploma,Total Seats,Recognised Seats,Permitted Seats
Anaesthesiology,MD,8.0,5.0,3.0
Biochemistry,MD,4.0,0.0,4.0
"Dermatology , Venereology & Leprosy",MD,1.0,1.0,0.0
Forensic Medicine,MD,4.0,3.0,1.0
General Medicine,MD,14.0,6.0,8.0
Microbiology,MD,6.0,4.0,2.0
Pediatrics,MD,7.0,7.0,0.0
Pathology,MD,8.0,0.0,8.0
Pharmacology,MD,4.0,3.0,1.0
Physical medicine and rehabilitation,MD,1.0,0.0,1.0
Physiology,MD,7.0,5.0,2.0
Psychiatry,MD,1.0,0.0,1.0
Radiotherapy,MD,4.0,0.0,4.0
Social & Preventive Medicine,MD,5.0,0.0,5.0
Tuberculosis & Respiratory Diseases,MD,3.0,3.0,0.0
Anatomy,MD/MS,5.0,4.0,1.0
Obstetrics & Gynaecology,MD/MS,14.0,12.0,2.0
Ophthalmology,MD/MS,1.0,1.0,0.0
Otorhinolaryngology,MS,4.0,4.0,0.0
Orthopaedics,MS,4.0,4.0,0.0
General Surgery,MS,14.0,6.0,8.0
