Pick #,Player,Position,Nationality,NHL team,College/junior/club team
97.0,Richard Brodeur,Goaltender,Canada,New York Islanders,Cornwall Royals (QMJHL)
98.0,Scott Smith,Left Wing,Canada,Atlanta Flames,Regina Pats (WCHL)
99.0,Danny Gloor,Centre,Canada,Vancouver Canucks,Peterborough Petes (OMJHL)
100.0,Glen Toner,Left Wing,Canada,Los Angeles Kings,Regina Pats (WCHL)
101.0,Don McLaughlin,Left Wing,Canada,New York Islanders,Brandon Wheat Kings (WCHL)
102.0,Mike Amodeo,Defence,Canada,California Golden Seals,Oshawa Generals (OMJHL)
103.0,Serge Beaudoin,Defence,Canada,Philadelphia Flyers,Trois-Rivières Draveurs (QMJHL)
104.0,D'Arcy Keating,Defence,Canada,Pittsburgh Penguins,University of Notre Dame (WCHA)
105.0,Brian Coughlin,Defence,Canada,St. Louis Blues,Verdun Maple Leafs (QMJHL)
106.0,Glen Seperich,Goaltender,Canada,Detroit Red Wings,Kitchener Rangers (OMJHL)
107.0,Monte Miron,Defence,Canada,Toronto Maple Leafs,Clarkson University (ECAC)
108.0,Chris Meloff,Defence,Canada,Minnesota North Stars,Kitchener Rangers (OMJHL)
109.0,Terry Smith,Centre,Canada,Chicago Black Hawks,Edmonton Oil Kings (WCHL)
110.0,Yves Archambault,Goaltender,Canada,Montreal Canadiens,Sorel Éperviers (QMJHL)
111.0,Jeff Hunt,Left Wing,Canada,New York Rangers,Winnipeg Jets (WCHL)
112.0,Gordie Clark,Right Wing,Canada,Boston Bruins,University of New Hampshire (ECAC)
