Rank,Nation,Gold,Silver,Bronze,Total
1,Russia,8.0,2.0,4.0,14.0
2,France,7.0,9.0,4.0,20.0
3,Italy,5.0,5.0,8.0,18.0
4,Netherlands,5.0,2.0,2.0,9.0
5,Spain,2.0,3.0,2.0,7.0
6,Croatia,2.0,0.0,2.0,4.0
7,Slovenia,2.0,0.0,1.0,3.0
8,Germany,1.0,3.0,2.0,6.0
9,Denmark,1.0,2.0,3.0,6.0
10,Austria,1.0,2.0,1.0,4.0
10,Ukraine,1.0,2.0,1.0,4.0
12,Serbia,1.0,1.0,0.0,2.0
12,Sweden,1.0,1.0,0.0,2.0
14,Great Britain,1.0,0.0,4.0,5.0
15,Finland,1.0,0.0,0.0,1.0
16,Hungary,0.0,3.0,1.0,4.0
17,Switzerland,0.0,1.0,1.0,2.0
18,Lithuania,0.0,1.0,0.0,1.0
18,Norway,0.0,1.0,0.0,1.0
20,Poland,0.0,0.0,1.0,1.0
20,Slovakia,0.0,0.0,1.0,1.0
Total,Total,39.0,38.0,38.0,115.0
