Constituency,Winner,Party,Margin,Runner-up a,Party a
1. Thiruvallur (SC),P. Venugopal,ADMK,31673.0,S. Gayathri,DMK
2. Chennai North,T.K.S. Elangovan,DMK,19153.0,D. Pandian,CPI
3. Chennai South,C. Rajendran,ADMK,32935.0,R. S. Bharathy,DMK
4. Chennai Central,Dayanidhi Maran *,DMK,33454.0,S. M. K. Mogamed Ali Jinnah,ADMK
5. Sriperumbudur,T.R. Baalu *,DMK,25036.0,A. K. Moorthy *,PMK
6. Kancheepuram (SC),P. Viswanathan,INC,13103.0,E. Ramakrishnan,ADMK
7. Arakkonam,Jagathrakshakan,DMK,109796.0,R. Velu *,PMK
8. Vellore,Abdulrahman,DMK,107393.0,L. K. M. B. Vasu,ADMK
9. Krishnagiri,E.G. Sugavanam *,DMK,76598.0,K. Nanjegowdu,ADMK
10. Dharmapuri,R. Thamaraiselvan,DMK,135942.0,R. Senthil *,PMK
11. Tiruvannamalai,D. Venugopal *,DMK,148300.0,J. Gurunathan,PMK
12. Arani,M. Krishnasamy,INC,106830.0,N. Subramaniyan,ADMK
13. Viluppuram (SC),M. Anandan,ADMK,2797.0,K. Swamidurai,VCK
14. Kallakurichi,Sankar Adhi,DMK,108608.0,K. Dhanaraju *,PMK
15. Salem,S. Semmalai,ADMK,46491.0,K. V. Thangkabalu *,INC
16. Namakkal,S. Gandhiselvan,DMK,102431.0,V. Vairam Tamilarasi,ADMK
17. Erode,A. Ganeshamurthi,MDMK,49336.0,E. V. K. S. Elangovan *,INC
18. Tiruppur,C. Sivasami,ADMK,85346.0,S. K. Kharventhan *,INC
19. Nilgiris (SC),A. Raja *,DMK,86021.0,Dr. C. Krishnan *,MDMK
20. Coimbatore,P.R. Natarajan,CPM,38664.0,R. Prabhu *,INC
21. Pollachi,K. Sugumar,ADMK,46025.0,K. Shanmugasundaram,DMK
22. Dindigul,N.S.V. Chitthan *,INC,54347.0,P. Balasubramani,ADMK
23. Karur,M. Tambidurai,ADMK,47254.0,K. C. Palanisamy,DMK
24. Tiruchirappalli,P. Kumar,ADMK,4335.0,Sarubala R. Thondaiman,INC
25. Perambalur,D. Napoleon,DMK,77604.0,K. K. Balasubramanian,ADMK
26. Cuddalore,S. Alagiri,INC,23532.0,M. C. Sampath,ADMK
27. Chidambaram (SC),Thol. Thirumaavalavan,VCK,99083.0,E. Ponnuswamy *,PMK
28. Mayiladuturai,O.S. Manian,ADMK,36854.0,Mani Shankar Aiyar *,INC
29. Nagapattinam (SC),A.K.S. Vijayan *,DMK,47962.0,M. Selvaraj,CPI
30. Thanjavur,S.S. Palanimanickam *,DMK,101787.0,Durai Balakrishnan,MDMK
31. Sivaganga,P. Chidambaram *,INC,3354.0,R. S. Raja Kannappan,ADMK
32. Madurai,M.K. Azhagiri,DMK,140985.0,P. Mohan *,CPM
33. Theni,J.M. Aaron Rashid *,INC,6302.0,Thanga Tamilselvan,ADMK
34. Virudhunagar,Manicka Tagore,INC,15764.0,Vaiko,MDMK
35. Ramanathapuram,Sivakumar,DMK,69915.0,V. Sathiamoorthy,ADMK
36. Thoothukkudi,S.R. Jeyadurai,DMK,76649.0,Dr. Cynthia Pandian,ADMK
37. Tenkasi (SC),P. Lingam,CPI,34677.0,K. Vellaipandi,INC
38. Tirunelveli,S. Ramasubbu,INC,21303.0,K. Annamalai,ADMK
