District,Incumbent,Party,Elected,Status,2007 Result
1st,Marty Williams,Republican,1995.0,Defeated in Primary,John Miller (D) 51.1% Tricia Stall (R) 48.6%
6th,Nick Rerras,Republican,1999.0,Defeated,Ralph Northam (D) 54.3% Nick Rerras (R) 45.5%
13th,Fred Quayle,Republican,1991.0,Reelected,Fred Quayle (R) 58.6% Steve Heretick (D) 41.1%
14th,Harry Blevins,Republican,2001.0,Reelected,Harry Blevins (R) 70.8% Donald Tabor Jr. (L) 28.8%
15th,Frank Ruff,Republican,1999.0,Reelected,Frank Ruff (R) 59.0% Bob Wilkerson (D) 40.9%
16th,Henry Marsh III,Democratic,1991.0,Reelected,Henry Marsh III (D) 66.6% Robert Owens (I) 33.1%
17th,Edd Houck,Democratic,1983.0,Reelected,Edd Houck (D) 56.0% Chris Yakabouski (R) 43.9%
19th,Charles Hawkins,Republican,1991.0,Retired,Robert Hurt (R) 75.7% Sherman Witcher (I) 24.2%
20th,Roscoe Reynolds,Democratic,1996.0,Reelected,Roscoe Reynolds (D) 63.0% Jeff Evans (R) 36.9%
22nd,Brandon Bell,Republican,1991.0,Defeated in Primary,Ralph K. Smith (R) 50.8% Michael Breiner (D) 49.0%
28th,John Chichester,Republican,1977.0,Retired,Richard Stuart (R) 50.6% Albert Pollard (D) 49.2%
33rd,Mark Herring,Democratic,2006.0,Reelected,Mark Herring (D) 56.9% Patricia Phillips (R) 43.0%
35th,Dick Saslaw,Democratic,1980.0,Reelected,Dick Saslaw (D) 77.9% Mario Palmiotto (IG) 21.0%
37th,Ken Cuccinelli,Republican,2001.0,Reelected,Ken Cuccinelli (R) 50.0% Janet Oleszek (D) 49.8%
