Player,Team,Date,Opposition,Game,Début
Colin Lynch,Clare,July 27,Cork,All-Ireland quarter-final,1997.0
Frank Lohan,Clare,July 27,Cork,All-Ireland quarter-final,1995.0
Joe Deane,Cork,August 10,Kilkenny,All-Ireland semi-final,1996.0
Brian Murphy,Cork,August 10,Kilkenny,All-Ireland semi-final,2004.0
Diarmuid O'Sullivan,Cork,August 10,Kilkenny,All-Ireland semi-final,1997.0
Éamonn Corcoran,Tipperary,August 17,Waterford,All-Ireland semi-final,1999.0
Dave Bennett,Waterford,September 7,Kilkenny,All-Ireland final,1997.0
Tom Feeney,Waterford,September 7,Kilkenny,All-Ireland final,1995.0
Paul Flynn,Waterford,September 7,Kilkenny,All-Ireland final,1993.0
James McGarry,Kilkenny,September 7,Waterford,All-Ireland final,1999.0
