Player,Country,Year(s) won,Total,To par,Finish
Lee Trevino,United States,"1974 , 1984",280.0,–4,2
Lanny Wadkins,United States,1977,284.0,E,T10
Larry Nelson,United States,1981,287.0,+3,T23
John Mahaffey,United States,1978,287.0,+3,T23
Jack Nicklaus,United States,"1963 , 1971 , 1973 1975 , 1980",289.0,+5,T32
David Graham,Australia,1979,289.0,+5,T32
Bobby Nichols,United States,1964,291.0,+7,T40
Dave Stockton,United States,"1970 , 1976",295.0,+11,T59
Hal Sutton,United States,1983,298.0,+14,T65
Al Geiberger,United States,1966,302.0,+18,T73
