Position,Club,Played,Points,Wins,Draws,Losses,Goals for,Goals against,Goal Difference
1.0,Cultural Leonesa,30.0,40.0,18.0,4.0,8.0,68.0,38.0,30.0
2.0,Real Oviedo,30.0,39.0,18.0,3.0,9.0,61.0,33.0,28.0
3.0,Real Zaragoza,30.0,39.0,18.0,3.0,9.0,69.0,41.0,28.0
4.0,Real Gijón CF,30.0,38.0,15.0,8.0,7.0,50.0,34.0,16.0
5.0,CD Logroñés,30.0,36.0,15.0,6.0,9.0,52.0,43.0,9.0
6.0,Baracaldo AH,30.0,33.0,15.0,3.0,12.0,47.0,42.0,5.0
7.0,CP La Felguera,30.0,30.0,11.0,8.0,11.0,41.0,45.0,-4.0
8.0,SD Eibar,30.0,29.0,13.0,3.0,14.0,54.0,51.0,3.0
9.0,CA Osasuna,30.0,29.0,12.0,5.0,13.0,56.0,57.0,-1.0
10.0,UD Lérida,30.0,27.0,10.0,7.0,13.0,41.0,56.0,-15.0
11.0,SD La España Industrial,30.0,26.0,9.0,8.0,13.0,46.0,45.0,1.0
12.0,Club Ferrol,30.0,24.0,9.0,6.0,15.0,35.0,59.0,-24.0
13.0,Caudal Deportivo,30.0,24.0,8.0,8.0,14.0,49.0,59.0,-10.0
14.0,Club Sestao,30.0,23.0,8.0,7.0,15.0,45.0,56.0,-11.0
15.0,Real Avilés CF,30.0,23.0,10.0,3.0,17.0,50.0,60.0,-10.0
16.0,CD Juvenil,30.0,20.0,5.0,10.0,15.0,40.0,85.0,-45.0
