Pick,Player,Position,Nationality,NHL team,College/junior/club team
27.0,Rhett Warrener,Defence,Canada,Florida Panthers,Saskatoon Blades (WHL)
28.0,Johan Davidsson,Left Wing,Sweden,Mighty Ducks of Anaheim,HV71 (Sweden)
29.0,Stanislav Neckar,Defence,Czech Republic,Ottawa Senators,HC České Budějovice ( Czech Republic )
30.0,Deron Quint,Defence,United States,Winnipeg Jets,Seattle Thunderbirds (WHL)
31.0,Jason Podollan,Right Wing,Canada,Florida Panthers,Spokane Chiefs (WHL)
32.0,Mike Watt,Left Wing,Canada,Edmonton Oilers,Stratford Cullitons (MOJHL)
33.0,Matt Johnson,Left Wing,Canada,Los Angeles Kings,Peterborough Petes (OHL)
34.0,Colin Cloutier,Centre,Canada,Tampa Bay Lightning,Brandon Wheat Kings (WHL)
35.0,Josef Marha,Centre,Czech Republic,Quebec Nordiques,Dukla Jihlava (Czech Republic)
36.0,Ryan Johnson,Centre,Canada,Florida Panthers,Thunder Bay Flyers (USHL)
37.0,Angel Nikolov,Defence,Russia,San Jose Sharks,HC Litvínov (Czech Republic)
38.0,Jason Holland,Defence,Canada,New York Islanders,Kamloops Blazers (WHL)
39.0,Robb Gordon,Centre,Canada,Vancouver Canucks,Powell River Kings (BCJHL)
40.0,Jean-Yves Leroux,Left Wing,Canada,Chicago Blackhawks,Beauport Harfangs (QMJHL)
41.0,Scott Cherrey,Left Wing,Canada,Washington Capitals,North Bay Centennials (OHL)
42.0,Dave Scatchard,Centre,Canada,Vancouver Canucks,Portland Winter Hawks (WHL)
43.0,Curtis Brown,Center,Canada,Buffalo Sabres,Moose Jaw Warriors (WHL)
44.0,Jose Theodore,Goaltender,Canada,Montreal Canadiens,Saint-Jean Lynx (QMJHL)
45.0,Dimitri Riabykin,Defence,Russia,Calgary Flames,Moscow Dynamo (Russia)
46.0,Lee Jinman,Centre,Canada,Dallas Stars,North Bay Centennials (OHL)
47.0,Daniel Goneau,Left Wing,Canada,Boston Bruins,Laval Titan (QMJHL)
48.0,Sean Haggerty,Left Wing,United States,Toronto Maple Leafs,Detroit Junior Red Wings (OHL)
49.0,Mathieu Dandenault,Right Wing,Canada,Detroit Red Wings,Sherbrooke Faucons (QMJHL)
50.0,Richard Park,Centre,United States,Pittsburgh Penguins,Belleville Bulls (OHL)
51.0,Patrik Elias,Left Wing,Czech Republic,New Jersey Devils,HC Kladno (Czech Republic)
52.0,Rudolf Vercik,Left Wing,Slovakia,New York Rangers,HC Slovan Bratislava ( Slovakia )
