Sport,Years,Games,Gold,Silver,Bronze,Total
Swimming,2004–2012,Summer,11.0,1.0,1.0,13.0
Athletics,1900–1908,Summer,8.0,0.0,0.0,8.0
Gymnastics,1964–1968,Summer,7.0,1.0,0.0,8.0
Athletics,1984–1996,Summer,7.0,1.0,0.0,8.0
Gymnastics,1956–1964,Summer,6.0,5.0,3.0,14.0
Gymnastics,1972–1980,Summer,6.0,3.0,3.0,12.0
Athletics,1920–1928,Summer,6.0,3.0,0.0,9.0
Cross-country skiing,1992–1998,Winter,6.0,3.0,0.0,9.0
Gymnastics,1956–1964,Summer,6.0,2.0,2.0,10.0
Speed skating,1960–1964,Winter,6.0,0.0,0.0,6.0
Gymnastics,1952–1956,Summer,5.0,3.0,1.0,9.0
Gymnastics,1968–1976,Summer,5.0,3.0,1.0,9.0
Speed skating,1924–1928,Winter,5.0,1.0,1.0,7.0
Canoeing,1948–1960,Summer,5.0,1.0,1.0,7.0
Gymnastics,1976–1980,Summer,5.0,1.0,1.0,7.0
Swimming,1988–1996,Summer,5.0,1.0,1.0,7.0
Gymnastics,1992–1996,Summer,5.0,0.0,4.0,9.0
Speed skating,1988–1994,Winter,5.0,0.0,1.0,6.0
Speed skating,1980,Winter,5.0,0.0,0.0,5.0
Biathlon,1998–2010,Winter,4.0,3.0,1.0,8.0
Cross-country skiing,1992–1994,Winter,4.0,3.0,0.0,7.0
Gymnastics,1968–1972,Summer,4.0,2.0,2.0,8.0
Speed skating,1992–2006,Winter,4.0,2.0,2.0,8.0
Alpine skiing,1992–2006,Winter,4.0,2.0,2.0,8.0
Speed skating,1928–1936,Winter,4.0,2.0,1.0,7.0
Archery,1900–1920,Summer,4.0,2.0,0.0,6.0
Alpine skiing,2002–2006,Winter,4.0,2.0,0.0,6.0
Gymnastics,1952–1956,Summer,4.0,1.0,1.0,6.0
Swimming,1968–1972,Summer,4.0,1.0,1.0,6.0
Swimming,2000–2004,Summer,4.0,1.0,1.0,6.0
Cycling,2000–2004,Summer,4.0,1.0,1.0,6.0
Gymnastics,1904,Summer,4.0,1.0,0.0,5.0
Athletics,1948–1952,Summer,4.0,1.0,0.0,5.0
Speed skating,1956–1964,Winter,4.0,1.0,0.0,5.0
Diving,1976–1988,Summer,4.0,1.0,0.0,5.0
Swimming,1988–1992,Summer,4.0,1.0,0.0,5.0
Speed skating,1992–1994,Winter,4.0,1.0,0.0,5.0
Swimming,1992–2000,Summer,4.0,1.0,0.0,5.0
Swimming,2000–2004,Summer,4.0,1.0,0.0,5.0
Sailing,1996–2012,Summer,4.0,1.0,0.0,5.0
Cycling,1904,Summer,4.0,0.0,1.0,5.0
Swimming,1968–1976,Summer,4.0,0.0,1.0,5.0
Athletics,1900,Summer,4.0,0.0,0.0,4.0
Athletics,1912–1920,Summer,4.0,0.0,0.0,4.0
Diving,1952–1956,Summer,4.0,0.0,0.0,4.0
Sailing,1948–1960,Summer,4.0,0.0,0.0,4.0
Athletics,1956–1968,Summer,4.0,0.0,0.0,4.0
Athletics,1972–1976,Summer,4.0,0.0,0.0,4.0
Swimming,1988,Summer,4.0,0.0,0.0,4.0
Swimming,1988–1992,Summer,4.0,0.0,0.0,4.0
Diving,1992–2000,Summer,4.0,0.0,0.0,4.0
Athletics,1996–2004,Summer,4.0,0.0,0.0,4.0
Swimming,2004–2008,Summer,4.0,0.0,0.0,4.0
Ski jumping,2002–2010,Winter,4.0,0.0,0.0,4.0
Cycling,2004–2012,Summer,4.0,0.0,0.0,4.0
Athletics,2008–2012,Summer,4.0,0.0,0.0,4.0
Speed skating,1980–1988,Winter,3.0,4.0,1.0,8.0
Speed skating,1992–1998,Winter,3.0,4.0,1.0,8.0
Gymnastics,1952–1960,Summer,3.0,3.0,4.0,10.0
Cross-country skiing,1956–1964,Winter,3.0,3.0,1.0,7.0
Athletics,1924–1928,Summer,3.0,3.0,0.0,6.0
Gymnastics,1996–2000,Summer,3.0,2.0,5.0,10.0
Gymnastics,1904,Summer,3.0,2.0,1.0,6.0
Athletics,1904–1912,Summer,3.0,2.0,1.0,6.0
Canoeing,1992–2000,Summer,3.0,2.0,1.0,6.0
Gymnastics,1928–1936,Summer,3.0,2.0,0.0,5.0
Diving,1964–1976,Summer,3.0,2.0,0.0,5.0
Alpine skiing,1988–1994,Winter,3.0,2.0,0.0,5.0
Luge,1992–2002,Winter,3.0,2.0,0.0,5.0
Shooting,1988–2008,Summer,3.0,2.0,0.0,5.0
Swimming,2000–2008,Summer,3.0,2.0,0.0,5.0
Shooting,2004–2012,Summer,3.0,2.0,0.0,5.0
"Nordic combined , Cross-country skiing",1924–1932,Winter,3.0,1.0,2.0,6.0
Athletics,1984–1996,Summer,3.0,1.0,2.0,6.0
Swimming,1904–1908,Summer,3.0,1.0,1.0,5.0
Gymnastics,1924–1936,Summer,3.0,1.0,1.0,5.0
Swimming,1972,Summer,3.0,1.0,1.0,5.0
Gymnastics,1984,Summer,3.0,1.0,1.0,5.0
Gymnastics,1988,Summer,3.0,1.0,1.0,5.0
Alpine skiing,1988–1994,Winter,3.0,1.0,1.0,5.0
Swimming,2000–2004,Summer,3.0,1.0,1.0,5.0
Short track speed skating,2006–2010,Winter,3.0,1.0,1.0,5.0
Shooting,1996–2012,Summer,3.0,1.0,1.0,5.0
Fencing,1996–2012,Summer,3.0,1.0,1.0,5.0
Athletics,1900–1904,Summer,3.0,1.0,0.0,4.0
Fencing,1900–1904,Summer,3.0,1.0,0.0,4.0
Athletics,1900–1908,Summer,3.0,1.0,0.0,4.0
Athletics,1904–1908,Summer,3.0,1.0,0.0,4.0
Figure skating,1920–1932,Winter,3.0,1.0,0.0,4.0
Swimming,1956–1960,Summer,3.0,1.0,0.0,4.0
Swimming,1956–1964,Summer,3.0,1.0,0.0,4.0
Diving,1960–1964,Summer,3.0,1.0,0.0,4.0
Athletics,1960–1964,Summer,3.0,1.0,0.0,4.0
Speed skating,1968–1972,Winter,3.0,1.0,0.0,4.0
Swimming,1972–1976,Summer,3.0,1.0,0.0,4.0
Athletics,1968–1980,Summer,3.0,1.0,0.0,4.0
Gymnastics,1976–1980,Summer,3.0,1.0,0.0,4.0
Gymnastics,1984,Summer,3.0,1.0,0.0,4.0
Ski jumping,1984–1988,Winter,3.0,1.0,0.0,4.0
Swimming,1984–1988,Summer,3.0,1.0,0.0,4.0
Speed skating,1984–1988,Winter,3.0,1.0,0.0,4.0
Gymnastics,1988,Summer,3.0,1.0,0.0,4.0
Alpine skiing,1992–1998,Winter,3.0,1.0,0.0,4.0
Athletics,1988–2000,Summer,3.0,1.0,0.0,4.0
Wrestling,1988–2000,Summer,3.0,1.0,0.0,4.0
Equestrian,1996–2008,Summer,3.0,1.0,0.0,4.0
Athletics,2004–2008,Summer,3.0,1.0,0.0,4.0
Wrestling,2000–2012,Summer,3.0,1.0,0.0,4.0
Cross-country skiing,1984–1994,Winter,3.0,0.0,2.0,5.0
Alpine skiing,1992–1998,Winter,3.0,0.0,2.0,5.0
Athletics,2004–2012,Summer,3.0,0.0,2.0,5.0
Athletics,1904–1908,Summer,3.0,0.0,1.0,4.0
Athletics,1920–1932,Summer,3.0,0.0,1.0,4.0
Swimming,1996,Summer,3.0,0.0,1.0,4.0
Weightlifting,1992–2004,Summer,3.0,0.0,1.0,4.0
Gymnastics,2008–2012,Summer,3.0,0.0,1.0,4.0
Cycling,1896,Summer,3.0,0.0,0.0,3.0
Athletics,1904,Summer,3.0,0.0,0.0,3.0
Athletics,1908–1912,Summer,3.0,0.0,0.0,3.0
Fencing,1912–1920,Summer,3.0,0.0,0.0,3.0
Cross-country skiing,1924,Winter,3.0,0.0,0.0,3.0
"Swimming , Water polo",1924–1928,Summer,3.0,0.0,0.0,3.0
Athletics,1924–1928,Summer,3.0,0.0,0.0,3.0
Wrestling,1920–1932,Summer,3.0,0.0,0.0,3.0
Figure skating,1928–1936,Winter,3.0,0.0,0.0,3.0
Wrestling,1932–1936,Summer,3.0,0.0,0.0,3.0
Athletics,1936,Summer,3.0,0.0,0.0,3.0
Athletics,1948,Summer,3.0,0.0,0.0,3.0
Speed skating,1952,Winter,3.0,0.0,0.0,3.0
Boxing,1948–1956,Summer,3.0,0.0,0.0,3.0
Alpine skiing,1956,Winter,3.0,0.0,0.0,3.0
Athletics,1956–1964,Summer,3.0,0.0,0.0,3.0
Rowing,1956–1964,Summer,3.0,0.0,0.0,3.0
Athletics,1960–1964,Summer,3.0,0.0,0.0,3.0
Swimming,1968,Summer,3.0,0.0,0.0,3.0
Alpine skiing,1968,Winter,3.0,0.0,0.0,3.0
Wrestling,1964–1972,Summer,3.0,0.0,0.0,3.0
Swimming,1968–1972,Summer,3.0,0.0,0.0,3.0
Boxing,1972–1980,Summer,3.0,0.0,0.0,3.0
Nordic combined,1972–1980,Winter,3.0,0.0,0.0,3.0
Athletics,1976–1980,Summer,3.0,0.0,0.0,3.0
Rowing,1976–1984,Summer,3.0,0.0,0.0,3.0
Cross-country skiing,1980–1984,Winter,3.0,0.0,0.0,3.0
Swimming,1980–1988,Summer,3.0,0.0,0.0,3.0
Speed skating,1988,Winter,3.0,0.0,0.0,3.0
Weightlifting,1988–1996,Summer,3.0,0.0,0.0,3.0
Athletics,1992–1996,Summer,3.0,0.0,0.0,3.0
Boxing,1992–2000,Summer,3.0,0.0,0.0,3.0
Weightlifting,1992–2000,Summer,3.0,0.0,0.0,3.0
Athletics,1992–2000,Summer,3.0,0.0,0.0,3.0
Swimming,1996–2000,Summer,3.0,0.0,0.0,3.0
Cycling,1996–2000,Summer,3.0,0.0,0.0,3.0
Weightlifting,1996–2004,Summer,3.0,0.0,0.0,3.0
Judo,1996–2004,Summer,3.0,0.0,0.0,3.0
