Week,Date,Opponent,Result,Attendance
1.0,"September 4, 1983",at Chicago Bears,W 20-17,60165.0
2.0,"September 11, 1983",New York Giants,L 16-13,58075.0
3.0,"September 18, 1983",at Detroit Lions,W 30-14,54622.0
4.0,"September 25, 1983",at San Francisco 49ers,L 24-20,57814.0
5.0,"October 2, 1983",Philadelphia Eagles,L 28-24,50621.0
6.0,"October 9, 1983",New Orleans Saints,L 19-17,51654.0
7.0,"October 16, 1983",at Los Angeles Rams,L 27-21,50404.0
8.0,"October 23, 1983",at New York Jets,W 27-21,46878.0
9.0,"October 30, 1983",New England Patriots,W 24-13,47546.0
10.0,"November 6, 1983",at New Orleans Saints,L 27-10,67062.0
11.0,"November 14, 1983",Los Angeles Rams,L 36-13,31202.0
12.0,"November 20, 1983",San Francisco 49ers,W 28-24,39782.0
13.0,"November 27, 1983",Green Bay Packers,W 47-41,35688.0
14.0,"December 4, 1983",at Washington Redskins,L 37-21,52074.0
15.0,"December 10, 1983",at Miami Dolphins,L 31-24,56725.0
16.0,"December 18, 1983",Buffalo Bills,W 31-14,31015.0
