Round,Grand Prix,Pole Position,Fastest Lap,Winning Driver,Winning Constructor,Report
1.0,Australian Grand Prix,Jacques Villeneuve,Jacques Villeneuve,Damon Hill,Williams - Renault,Report
2.0,Brazilian Grand Prix,Damon Hill,Damon Hill,Damon Hill,Williams - Renault,Report
3.0,Argentine Grand Prix,Damon Hill,Jean Alesi,Damon Hill,Williams - Renault,Report
4.0,European Grand Prix,Damon Hill,Damon Hill,Jacques Villeneuve,Williams - Renault,Report
5.0,San Marino Grand Prix,Michael Schumacher,Damon Hill,Damon Hill,Williams - Renault,Report
6.0,Monaco Grand Prix,Michael Schumacher,Jean Alesi,Olivier Panis,Ligier - Mugen-Honda,Report
7.0,Spanish Grand Prix,Damon Hill,Michael Schumacher,Michael Schumacher,Ferrari,Report
8.0,Canadian Grand Prix,Damon Hill,Jacques Villeneuve,Damon Hill,Williams - Renault,Report
9.0,French Grand Prix,Michael Schumacher,Jacques Villeneuve,Damon Hill,Williams - Renault,Report
10.0,British Grand Prix,Damon Hill,Jacques Villeneuve,Jacques Villeneuve,Williams - Renault,Report
11.0,German Grand Prix,Damon Hill,Damon Hill,Damon Hill,Williams - Renault,Report
12.0,Hungarian Grand Prix,Michael Schumacher,Damon Hill,Jacques Villeneuve,Williams - Renault,Report
13.0,Belgian Grand Prix,Jacques Villeneuve,Gerhard Berger,Michael Schumacher,Ferrari,Report
14.0,Italian Grand Prix,Damon Hill,Michael Schumacher,Michael Schumacher,Ferrari,Report
15.0,Portuguese Grand Prix,Damon Hill,Jacques Villeneuve,Jacques Villeneuve,Williams - Renault,Report
16.0,Japanese Grand Prix,Jacques Villeneuve,Jacques Villeneuve,Damon Hill,Williams - Renault,Report
