Name,Type,Inaug.,No Blocks,No Units
Carado Garden,PSPS,1990.0,6.0,1988.0
Chun Shek Estate,Public,1984.0,4.0,2166.0
Fung Shing Court,HOS,1985.0,3.0,2448.0
Grandway Garden,PSPS,1989.0,3.0,864.0
Hin Keng Estate,TPS,1986.0,8.0,1004.0
Hin Yiu Estate,Public,2005.0,1.0,799.0
Holford Garden,PSPS,1985.0,3.0,800.0
Ka Keng Court,HOS,2002.0,2.0,640.0
Ka Tin Court,HOS,1988.0,6.0,1680.0
King Tin Court,HOS,1983.0,6.0,1424.0
Lung Hang Estate,Public,1983.0,6.0,4376.0
May Shing Court,HOS,1982.0,3.0,2192.0
Mei Chung Court,HOS,1996.0,6.0,1940.0
Mei Lam Estate,Public,1981.0,4.0,4156.0
Mei Tin Estate,Public,2006.0,4.0,3164.0
Sun Chui Estate,Public,1983.0,8.0,6692.0
Sun Tin Wai Estate,Public,1981.0,8.0,3430.0
