Name,League,FA Cup,League Cup,Other,Total
Andy Morrell Category:Articles with hCards,16.0,3.0,0.0,1.0,20.0
Keigan Parker Category:Articles with hCards,13.0,1.0,0.0,2.0,16.0
Scott Vernon Category:Articles with hCards,11.0,1.0,2.0,0.0,14.0
Wes Hoolahan Category:Articles with hCards,8.0,1.0,0.0,1.0,10.0
Shaun Barker Category:Articles with hCards,3.0,1.0,0.0,2.0,6.0
Keith Southern Category:Articles with hCards,5.0,0.0,0.0,1.0,6.0
Ben Burgess Category:Articles with hCards,2.0,1.0,0.0,2.0,5.0
Robbie Williams Category:Articles with hCards,4.0,0.0,0.0,1.0,5.0
David Fox Category:Articles with hCards,4.0,0.0,0.0,0.0,4.0
Chris Brandon Category:Articles with hCards,2.0,0.0,0.0,0.0,2.0
Simon Gillett Category:Articles with hCards,1.0,0.0,0.0,1.0,2.0
Michael Jackson Category:Articles with hCards,1.0,1.0,0.0,0.0,2.0
Claus Bech Jørgensen Category:Articles with hCards,2.0,0.0,0.0,0.0,2.0
Ian Evatt Category:Articles with hCards,0.0,1.0,0.0,0.0,1.0
Adrian Forbes Category:Articles with hCards,1.0,0.0,0.0,0.0,1.0
Danny Graham Category:Articles with hCards,1.0,0.0,0.0,0.0,1.0
