No,Player,Height,Position,Year born,Current Club
4.0,Bartłomiej Wołoszyn,1.97,Forward,1986.0,Anwil Wloclawek
5.0,Andrzej Pluta,1.81,Guard,1974.0,Anwil Wloclawek
6.0,Robert Skibniewski,1.82,Guard,1983.0,BOT Turów
7.0,Robert Witka,2.06,Forward,1981.0,BOT Turów
8.0,Filip Dylewicz,2.02,Forward,1980.0,Prokom Trefl Sopot
9.0,Radosław Hyży,2.00,Forward,1977.0,Śląsk Wrocław
10.0,Adam Wójcik,2.08,Forward,1970.0,UPEA Capo d'Orlando
11.0,Kamil Pietras,2.04,Forward,1988.0,Olimpija Ljubljana
12.0,Szymon Szewczyk,2.09,Center,1982.0,Lokomotiv Rostov
13.0,Iwo Kitzinger,1.88,Guard,1985.0,BOT Turów
14.0,Przemysław Frasunkiewicz,2.01,Forward,1979.0,Energa Czarni
