Pick #,NFL Team,Player,Position,College
11.0,Green Bay Packers,Tim Lewis,Cornerback,Pittsburgh
48.0,Green Bay Packers,Dave Drechsler,Guard,North Carolina
104.0,Green Bay Packers,Mike Miller,Wide Receiver,Tennessee
132.0,Green Bay Packers,Brian Thomas,Running Back,Pittsburgh
160.0,Green Bay Packers,Ron Sams,Guard,Pittsburgh
188.0,Green Bay Packers,Jessie Clark,Running Back,Arkansas
216.0,Green Bay Packers,Carlton Briscoe,Defensive Back,McNeese State
243.0,Green Bay Packers,Robin Ham,Center,West Texas State
253.0,Green Bay Packers,Byron Williams,Wide Receiver,Texas Arlington
271.0,Green Bay Packers,Jimmy Thomas,Defensive Back,Indiana
299.0,Green Bay Packers,Bucky Scribner,Punter,Kansas
