Name,GP-GS,Gain,Loss,Long,Avg/G
Graig Cooper,13-11,888.0,47.0,51.0,64.7
Javarris James,9-1,299.0,13.0,13.0,31.8
Robert Marve,11-11,236.0,117.0,43.0,10.8
Lee Chambers,5-0,119.0,3.0,25.0,23.2
Derron Thomas,10-0,130.0,19.0,34.0,11.1
Jacory Harris,13-2,218.0,117.0,30.0,7.8
Shawnbrey McNeal,7-0,62.0,0.0,31.0,8.9
Travis Benjamin,12-5,42.0,0.0,18.0,3.5
Matt Bosher,13-13,9.0,0.0,9.0,0.7
Jason Fox,12-12,5.0,0.0,5.0,0.4
Davon Johnson,11-1,3.0,0.0,3.0,0.3
Cannon Smith,1-0,2.0,0.0,2.0,2.0
Thearon Collier,12-3,0.0,0.0,0.0,0.0
Total,13,2013.0,333.0,51.0,129.2
Opponents,13,2444.0,470.0,58.0,151.8
