Season,Pool/Round,Played,Drawn,Lost,Bonus,Points
1995–96,Pool 1,2.0,0.0,1.0,–,2.0
1996–97,Pool 1,4.0,0.0,3.0,–,2.0
1997–98,Pool 5,6.0,0.0,4.0,–,4.0
1998–99,Pool 4,6.0,0.0,3.0,–,6.0
1999–00,Pool 5,6.0,0.0,4.0,–,4.0
2001–02,Pool 2,6.0,0.0,5.0,–,2.0
2003–04,Pool 5,6.0,0.0,5.0,1,5.0
2004–05,Pool 2,6.0,0.0,3.0,2,14.0
2005–06,Pool 4,6.0,0.0,6.0,3,3.0
2006–07,Pool 1,6.0,0.0,6.0,0,0.0
2007–08,Pool 1,6.0,0.0,5.0,1,5.0
2008–09,Pool 3,6.0,0.0,6.0,0,0.0
2009–10,Pool 1,6.0,0.0,5.0,1,5.0
2010–11,Pool 5,6.0,0.0,6.0,1,1.0
2011–12,Pool 5,6.0,1.0,4.0,1,7.0
2012–13,Pool 2,6.0,0.0,5.0,1,5.0
