Club,League,Sport,Venue,Established
Indianapolis Colts,National Football League,Football,Lucas Oil Stadium,1953.0
Indiana Pacers,National Basketball Association,Basketball,Bankers Life Fieldhouse,1967.0
Indiana Fever,Women's National Basketball Association,Basketball,Bankers Life Fieldhouse,2000.0
Indianapolis Indians,International League,Baseball,Victory Field,1902.0
Indy Eleven,North American Soccer League,Soccer,IU Michael A. Carroll Track & Soccer Stadium,2013.0
Indiana Ice,United States Hockey League,Hockey,Pepsi Coliseum / Bankers Life Fieldhouse,2004.0
Indiana Speed,Women's Football Alliance,Football,Broad Ripple High School football stadium,2002.0
F.C. Indiana (NPSL),National Premier Soccer League,Soccer,Kuntz Stadium,2007.0
F.C. Indiana (WPSL),Women's Premier Soccer League Elite,Soccer,IU Michael A. Carroll Track & Soccer Stadium,2000.0
Indianapolis Impalas,USA Rugby,Rugby,Old Central State Hospital,1980.0
