Driver,Constructor,Laps,Time/Retired,Grid
Alberto Ascari,Ferrari,90.0,2:53:28.5,1.0
Nino Farina,Ferrari,90.0,+ 40.1,2.0
Luigi Villoresi,Ferrari,90.0,+ 1:34.4,4.0
Mike Hawthorn,Cooper - Bristol,88.0,+ 2 laps,3.0
Robert Manzon,Gordini,87.0,+ 3 laps,8.0
Maurice Trintignant,Gordini,87.0,+ 3 laps,5.0
Duncan Hamilton,HWM - Alta,85.0,+ 5 laps,10.0
Lance Macklin,HWM - Alta,84.0,+ 6 laps,9.0
Chico Landi Jan Flinterman,Maserati,83.0,+ 7 laps,16.0
Ken Wharton,Frazer-Nash - Bristol,76.0,Wheel bearing,7.0
Stirling Moss,ERA,73.0,Engine,18.0
Dries van der Lof,HWM - Alta,70.0,Not Classified,14.0
Ken Downing,Connaught - Lea-Francis,27.0,Oil pressure,13.0
Charles de Tornaco,Ferrari,19.0,Engine,17.0
Paul Frère,Simca-Gordini - Gordini,15.0,Clutch,11.0
Jean Behra,Gordini,10.0,Electrical,6.0
Jan Flinterman,Maserati,7.0,Differential,15.0
Gino Bianco,Maserati,4.0,Axle,12.0
