Week,Date,Opponent,Result,Game site,NFL Recap,Attendance
1.0,"September 9, 1985",Washington Redskins,W 44–14,Texas Stadium,Recap,62292.0
2.0,"September 15, 1985",at Detroit Lions,L 21–26,Pontiac Silverdome,Recap,72985.0
3.0,"September 22, 1985",Cleveland Browns,W 20–7,Texas Stadium,Recap,61456.0
4.0,"September 29, 1985",at Houston Oilers,W 17–10,Astrodome,Recap,49686.0
5.0,"October 6, 1985",at New York Giants,W 30–29,Giants Stadium,Recap,74981.0
6.0,"October 13, 1985",Pittsburgh Steelers,W 27–13,Texas Stadium,Recap,63062.0
7.0,"October 20, 1985",at Philadelphia Eagles,L 14–16,Veterans Stadium,Recap,70114.0
8.0,"October 27, 1985",Atlanta Falcons,W 24–10,Texas Stadium,Recap,57941.0
9.0,"November 4, 1985",at St. Louis Cardinals,L 10–21,Busch Memorial Stadium,Recap,49347.0
10.0,"November 10, 1985",at Washington Redskins,W 13–7,RFK Stadium,Recap,55750.0
11.0,"November 17, 1985",Chicago Bears,L 0–44,Texas Stadium,Recap,63855.0
12.0,"November 24, 1985",Philadelphia Eagles,W 34–17,Texas Stadium,Recap,54047.0
13.0,"November 28, 1985",St. Louis Cardinals,W 35–17,Texas Stadium,Recap,54125.0
14.0,"December 8, 1985",at Cincinnati Bengals,L 24–50,Riverfront Stadium,Recap,56936.0
15.0,"December 15, 1985",New York Giants,W 28–21,Texas Stadium,Recap,62310.0
16.0,"December 22, 1985",at San Francisco 49ers,L 16–31,Candlestick Park,Recap,60114.0
