Driver,Constructor,Laps,Time/Retired,Grid
Jackie Stewart,Matra - Ford,80.0,1:50:39.1,4.0
Graham Hill,Lotus - Ford,80.0,+ 18.8,7.0
Denny Hulme,McLaren - Ford,80.0,+ 31.8,3.0
Jo Siffert,Lotus - Ford,80.0,+ 49.2,12.0
Bruce McLaren,McLaren - Ford,79.0,+ 1 Lap,8.0
Jean-Pierre Beltoise,Matra - Ford,78.0,+ 2 Laps,11.0
Jackie Oliver,BRM,77.0,+ 3 Laps,14.0
Sam Tingle,Brabham - Repco,73.0,+ 7 Laps,17.0
Peter de Klerk,Brabham - Repco,67.0,Not Classified,16.0
Jochen Rindt,Lotus - Ford,44.0,Fuel Pump,2.0
John Surtees,BRM,40.0,Engine,18.0
Pedro Rodríguez,BRM,38.0,Water Leak,15.0
Chris Amon,Ferrari,34.0,Engine,5.0
Jack Brabham,Brabham - Ford,32.0,Handling,1.0
Mario Andretti,Lotus - Ford,31.0,Gearbox,6.0
John Love,Lotus - Ford,31.0,Ignition,10.0
Jacky Ickx,Brabham - Ford,20.0,Ignition,13.0
Basil van Rooyen,McLaren - Ford,12.0,Brakes,9.0
