Rider,Bike,Laps,Time,Grid
Noriyuki Haga,Yamaha YZF-R1,18.0,32:07.576,3.0
Max Neukirchner,Suzuki GSX-R1000,18.0,+0.009,2.0
Ryuichi Kiyonari,Honda CBR1000RR,18.0,+0.051,8.0
Fonsi Nieto,Suzuki GSX-R1000,18.0,+4.489,7.0
Michel Fabrizio,Ducati 1098 F08,18.0,+10.272,13.0
Karl Muggeridge,Honda CBR1000RR,18.0,+10.376,10.0
Ruben Xaus,Ducati 1098 RS 08,18.0,+10.496,6.0
Troy Corser,Yamaha YZF-R1,18.0,+12.498,12.0
Ayrton Badovini,Kawasaki ZX-10R,18.0,+19.429,18.0
Gregorio Lavilla,Honda CBR1000RR,18.0,+26.373,16.0
Lorenzo Lanzi,Ducati 1098 RS 08,18.0,+26.544,23.0
Shinichi Nakatomi,Yamaha YZF-R1,18.0,+26.895,17.0
Russell Holland,Honda CBR1000RR,18.0,+27.761,22.0
Sébastien Gimbert,Yamaha YZF-R1,18.0,+29.661,19.0
Michael Beck,Yamaha YZF-R1,18.0,+1:29.001,28.0
Shuhei Aoyama,Honda CBR1000RR,15.0,+3 Laps,21.0
Makoto Tamada,Kawasaki ZX-10R,17.0,Retirement,14.0
Max Biaggi,Ducati 1098 RS 08,15.0,Accident,9.0
Jakub Smrz,Ducati 1098 RS 08,18.0,Accident,15.0
Carlos Checa,Honda CBR1000RR,9.0,Accident,4.0
Loic Napoleone,Yamaha YZF-R1,9.0,Retirement,27.0
Troy Bayliss,Ducati 1098 F08,8.0,Retirement,1.0
Régis Laconi,Kawasaki ZX-10R,6.0,Accident,11.0
Yukio Kagayama,Suzuki GSX-R1000,4.0,Accident,5.0
Vittorio Iannuzzo,Kawasaki ZX-10R,3.0,Retirement,20.0
Luca Morelli,Honda CBR1000RR,1.0,Retirement,24.0
