Position,Club,Games played,Wins,Draws,Loses,Goals scored,Goals conceded,Points
1.0,SM Šilutė-2,20.0,16.0,3.0,1.0,88.0,12.0,51.0
2.0,Sakuona Plikiai,20.0,17.0,0.0,3.0,96.0,23.0,51.0
3.0,Tauras ir ERRA Tauragė,20.0,13.0,3.0,4.0,71.0,28.0,42.0
4.0,Švyturys Klaipėda,20.0,12.0,3.0,5.0,55.0,23.0,39.0
5.0,Glestum Klaipėda,20.0,12.0,3.0,5.0,48.0,22.0,39.0
6.0,Minija Kretinga,20.0,9.0,4.0,7.0,40.0,30.0,31.0
7.0,Bangele Gargždai,20.0,8.0,1.0,11.0,40.0,42.0,25.0
8.0,Salantas Salantai,20.0,5.0,1.0,14.0,23.0,66.0,16.0
9.0,Piritas Klaipėda,20.0,4.0,2.0,14.0,25.0,48.0,14.0
10.0,FK Pagėgiai,20.0,3.0,1.0,16.0,18.0,96.0,10.0
11.0,FK Skuodas,20.0,0.0,1.0,19.0,11.0,125.0,1.0
