Name,City,Metres,Feet,Floors,Finalized
Warsaw Spire,Warsaw,220.0,722.0,49.0,2014
Piedmont Region Headquarters,Turin,209.0,686.0,42.0,2014
Il Dritto Citylife,Milan,207.0,679.0,50.0,2014
Residencial In Tempo,Benidorm,200.0,656.0,52.0,2013
Tour Majunga,Paris,195.0,636.0,45.0,2013
European Central Bank Headquarters,Frankfurt,185.0,607.0,45.0,2014
St George Wharf Tower,London,181.0,594.0,58.0,2014
Cajasol Tower,Seville,178.0,584.0,40.0,2013
Lumiere,Leeds,172.0,564.0,55.0,2010 -->
Tour D2,Paris,171.0,564.0,37.0,2014
Taunusturm,Frankfurt,170.0,558.0,40.0,2014
Lo Storto Citylife,Milan,170.0,558.0,45.0,2015
Torre Intesa SanPaolo,Turin,167.0,549.0,39.0,2013
20 Fenchurch Street,London,160.0,525.0,36.0,2013
Dâmbovița Center,Bucharest,155.0,509.0,34.0,2015
La Muratella,Rome,150.0,508.0,30.0,2013
Torre La Sagrera,Barcelona,148.0,486.0,34.0,2014
Panorama Business & Retail Park,Gdynia,141.0,464.0,36.0,2013
New Henninger Turm,Frankfurt,140.0,459.0,39.0,2016
Torri degli Erzelli,Genoa,140.0,459.0,40.0,2014
New Babylon,The Hague,140.0,461.0,45.0,2011
Quais d'Arenc,Marseille,135.0,442.0,31.0,2015
Upper West,Berlin,118.0,387.0,33.0,2015
Quais d'Arenc,Marseille,113.0,370.0,40.0,2015
City Gate,Vienna,110.0,360.0,35.0,2015
