Number on map,Name,Colour,Construction commenced,Population
1.0,Langley Green,Grey,1952.0,7286.0
2.0,Northgate,Dark green,1951.0,4407.0
3.0,Pound Hill,Orange,1953.0,14716.0
4.0,Maidenbower,Blue,1987.0,8070.0
5.0,Furnace Green,Light green,1960.0,5734.0
6.0,Tilgate,Red,1955.0,6198.0
7.0,Broadfield,Sky blue,1969.0,12666.0
8.0,Bewbush,Light brown,1975.0,9081.0
9.0,Ifield,Purple,1953.0,8414.0
10.0,West Green,Dark blue,1949.0,4404.0
11.0,Gossops Green,Maroon,1956.0,5014.0
12.0,Southgate,Brown,1955.0,8106.0
13.0,Three Bridges,Yellow,1952.0,5648.0
