Player,Club,League,FA Cup,FA Trophy,League Cup,Total
Geoff Horsfield,Halifax Town,30.0,4.0,0.0,0.0,34.0
Darren Collins,Rushden & Diamonds,29.0,0.0,3.0,0.0,32.0
Darran Hay,Woking,20.0,0.0,0.0,1.0,21.0
Mark Cooper,Welling United,18.0,1.0,0.0,0.0,19.0
John Norman,Morecambe,18.0,0.0,0.0,3.0,21.0
Neil Grayson,Hereford United & Cheltenham Town,17.0,4.0,0.0,1.0,22.0
Owen Pickard,Yeovil Town,17.0,6.0,0.0,1.0,24.0
Dale Watkins,Cheltenham Town,17.0,4.0,7.0,1.0,29.0
Mike Bignall,Kidderminster Harriers,16.0,1.0,0.0,0.0,17.0
Brendan Burke,Stalybridge Celtic,16.0,2.0,1.0,1.0,20.0
Jason Eaton,Cheltenham Town,16.0,2.0,4.0,0.0,22.0
David Mehew,Rushden & Diamonds,16.0,1.0,0.0,0.0,17.0
Warren Patmore,Yeovil Town,16.0,0.0,0.0,1.0,17.0
Ritchie Hanlon,Welling United,15.0,0.0,0.0,0.0,15.0
Martin Randall,Hayes,15.0,0.0,2.0,2.0,19.0
Jamie Paterson,Halifax Town,14.0,3.0,1.0,0.0,18.0
Grant Payne,Woking,14.0,0.0,0.0,1.0,15.0
Chris Pearson,Kettering Town,14.0,0.0,0.0,0.0,14.0
Andy Milner,Morecambe,13.0,0.0,0.0,2.0,15.0
Steve Bowey,Gateshead,12.0,1.0,1.0,0.0,14.0
Jimmy Strouts,Dover Athletic,12.0,0.0,0.0,1.0,13.0
