Track,Title,Translation,Composer,Recorded
1.0,"""Les bourgeois""",The middle class,"Jacques Brel, Jean Corti",1962-03-09
2.0,"""Les paumés du petit matin""",The lost ones of the morning,"Jacques Brel, François Rauber",1962-03-09
3.0,""" Le Plat Pays """,The flat country,Jacques Brel,1962-03-06
4.0,"""Zangra""",Zangra,Jacques Brel,1962-03-06
5.0,"""Une île""",An island,Jacques Brel,1962-03-14
6.0,"""Madeleine""",Madeleine,"Jacques Brel, Jean Corti, Gérard Jouannest",1962-03-09
7.0,"""Bruxelles""",Brussels,"Jacques Brel, Gérard Jouannest",1962-03-14
8.0,"""Chanson sans paroles""",Song without words,"Jacques Brel, François Rauber",1962-03-14
9.0,"""Les biches""",The does,"Jacques Brel, Gérard Jouannest",1962-03-07
10.0,"""Le caporal Casse-Pompon""",Corporal Casse-Pompon,Jacques Brel,1962-03-06
11.0,"""La statue""",The statue,"Jacques Brel, François Rauber",1962-03-07
12.0,"""Rosa""",Rosa,Jacques Brel,1962-03-07
13.0,"""Il neige sur Liège""",It snows on Liège,Jacques Brel,1963-05-30
14.0,"""Pourquoi faut-il que les hommes s'ennuient""",Why are the men bored,Jacques Brel,1963
