Name,Overs Bowled,Maidens,Runs Conceded,Wickets,Extras,E.R.
Chaminda Vaas,62.0,3.0,270.0,5.0,1.0,4.35
Lasith Malinga,70.4,6.0,368.0,12.0,14.0,5.23
Ishara Amerasinghe,57.0,5.0,276.0,9.0,5.0,4.84
Muttiah Muralitharan,73.2,0.0,353.0,9.0,6.0,4.82
Chamara Kapugedera,22.0,0.0,101.0,2.0,3.0,4.59
Tillakaratne Dilshan,2.0,0.0,19.0,0.0,0.0,9.5
Sanath Jayasuriya,6.1,0.0,42.0,1.0,0.0,6.89
Farveez Maharoof,32.1,1.0,149.0,4.0,5.0,4.64
Nuwan Kulasekara,26.0,4.0,129.0,5.0,0.0,4.96
Dilruwan Perera,7.0,0.0,28.0,1.0,0.0,4.0
