School,Location,Mascot,Enrollment,IHSAA Class,# / County,Year Joined,Previous Conference
Angola Community,Angola,Hornets,911.0,AAA (AAAA),76 Steuben,1989.0,Northeastern Indiana
Central Noble,Albion,Cougars,441.0,AA,57 Noble,1968.0,none (new school)
Churubusco,Churubusco,Eagles,438.0,AA,92 Whitley,1989.0,Allen County
Eastside,Butler,Blazer,498.0,AA,17 DeKalb,1983.0,Allen County
Fairfield,Goshen,Falcons,583.0,AA,20 Elkhart,1980.0,Northern State
Fremont,Fremont,Eagles,387.0,A,76 Steuben,1964.0,Steuben County
Hamilton,Hamilton,Marines,228.0,A,76 Steuben,1964.0,Steuben County
Lakeland,LaGrange,Lakers,747.0,AAA,44 LaGrange,1973.0,Independents
Prairie Heights,LaGrange,Panthers,519.0,AA,44 LaGrange,1964.0,none (new school)
West Noble,Ligonier,Chargers,685.0,AAA,57 Noble,1967.0,none (new school)
Westview,Topeka,Warriors,422.0,AA,44 LaGrange,1966.0,none (new school)
