Rank Each wrestlers total number of days as champion are ranked highest to lowest; wrestlers with the same number mean that they are tied for that certain rank.,Wrestler,# of reigns,Combined defenses,Combined days
1.0,Roderick Strong,2.0,31.0,569
2.0,Homicide,1.0,16.0,476
3.0,Jon Moxley,1.0,2.0,360
4.0,Bryan Danielson,1.0,9.0,300
5.0,Davey Richards,2.0,4.0,276
6.0,Jon Davis,1.0,3.0,189
7.0,Tyler Black,1.0,1.0,133
8.0,Go Shiozaki,1.0,5.0,119
9.0,Erick Stevens,2.0,6.0,83
10.0,Trent Baretta †,1.0,1.0,176+
