Year,Artist,Album,Label,Credit
2001.0,Newsong,The Christmas Shoes,Reunion,Guitar
2002.0,Plus One,Obvious,Reunion,Guitar
2002.0,Joy Williams,By Surprise,Reunion,"Guitar, Bass, Bouzouki"
2002.0,Plus One,Christmas,Reunion,Guitar
2003.0,Natalie Grant,Deeper Life,Curb,"Guitar, Mandolin, Clappers"
2003.0,Avalon,Testify to Love,Sparrow,Guitar
2003.0,Casting Crowns,Casting Crowns,Beach Street,Guitar
2005.0,Casting Crowns,Lifesong,Reunion,Guitar
2006.0,Ana Laura,Ana Laura,Reunion,"Guitar, Piano, Keyboards, Vocals"
2006.0,Red,End of Silence,Essential,Piano
