Against,Played,Drawn,Lost,% Won
Albania,2.0,0.0,1.0,50%
Armenia,2.0,0.0,0.0,100%
Austria,6.0,0.0,4.0,33.33%
Belarus,4.0,0.0,1.0,75%
Belgium,4.0,0.0,2.0,50%
Bosnia and Herzegovina,4.0,0.0,3.0,25%
Bulgaria,6.0,1.0,4.0,16.67%
Cyprus,2.0,1.0,1.0,0%
Czech Republic,6.0,2.0,3.0,16.67%
Georgia,10.0,4.0,2.0,40%
Germany,2.0,0.0,2.0,0%
Greece,2.0,0.0,0.0,100%
Hungary,12.0,3.0,7.0,16.67%
Iceland,4.0,0.0,1.0,75%
Ireland,2.0,0.0,1.0,50%
Israel,4.0,1.0,2.0,25%
Latvia,2.0,1.0,1.0,0%
Moldova,8.0,0.0,4.0,50%
Netherlands,2.0,0.0,1.0,50%
Norway,6.0,1.0,4.0,16.67%
Poland,10.0,1.0,6.0,30%
Russia,2.0,2.0,0.0,0%
Serbia,4.0,1.0,2.0,25%
Slovakia,8.0,3.0,4.0,12.5%
Slovenia,2.0,1.0,0.0,50%
Switzerland,2.0,1.0,1.0,0%
Turkey,2.0,1.0,1.0,0%
Total,120.0,24.0,58.0,31.67%
