School,Location(s),Control,Type,Enrollment (2012),Founded
Appalachian State University,Boone,Public,Master's University,17589.0,1899.0
East Carolina University,Greenville,Public,Doctoral/Research University,26946.0,1907.0
Elizabeth City State University,Elizabeth City,Public,Master's University,2878.0,1891.0
Fayetteville State University,Fayetteville,Public,Master's University,6060.0,1867.0
North Carolina Central University,Durham,Public,Master's University,8604.0,1909.0
North Carolina State University,Raleigh,Public,Doctoral/Research University,34340.0,1887.0
University of North Carolina at Asheville,Asheville,Public,Master's University,3751.0,1927.0
University of North Carolina at Chapel Hill,Chapel Hill,Public,Doctoral/Research University,29282.0,1789.0
University of North Carolina at Charlotte,Charlotte,Public,Doctoral/Research University,26232.0,1946.0
University of North Carolina at Greensboro,Greensboro,Public,Doctoral/Research University,18516.0,1891.0
University of North Carolina at Pembroke,Pembroke,Public,Master's University,6269.0,1887.0
University of North Carolina at Wilmington,Wilmington,Public,Master's University,13733.0,1947.0
University of North Carolina School of the Arts,Winston-Salem,Public,Special Focus Institution,808.0,1963.0
Western Carolina University,Cullowhee,Public,Master's University,9608.0,1889.0
