Round,Pick #,Overall,Name,Position,College
1.0,17.0,17.0,Don Smith,Defensive End,Miami (FL)
2.0,21.0,49.0,Pat Howell,Guard,USC
3.0,17.0,75.0,James Mayberry,Running Back,Colorado
3.0,23.0,79.0,William Andrews,Running Back,Auburn
4.0,18.0,100.0,Lynn Cain,Running Back,USC
4.0,19.0,101.0,Charles Johnson [ disambiguation needed ],Defensive Back,Grambling
5.0,17.0,127.0,Mike Zele,Defensive Tackle,Kent State
6.0,17.0,154.0,Mike Moroski,Quarterback,UC Davis
7.0,21.0,186.0,Roger Westlund,Offensive Tackle,Washington
8.0,20.0,212.0,Keith Miller,Linebacker,Northeastern State (OK)
9.0,19.0,239.0,Dave Parkin,Defensive Back,Utah State
10.0,18.0,266.0,Bruce Beekley,Linebacker,Oregon
11.0,17.0,292.0,Bill Leer,Center,Colorado State
12.0,20.0,323.0,Stuart Walker,Linebacker,Colorado
