Round,Pick,Player,Position,School
1.0,9.0,Mike Butler,Defensive End,Kansas
1.0,28.0,Ezra Johnson,Defensive End,Morris Brown
2.0,39.0,Greg Koch,Offensive Tackle,Arkansas
3.0,74.0,Rick Scribner,Guard,Idaho State
5.0,122.0,Nate Simpson,Running Back,Tennessee State
6.0,149.0,Tim Moresco,Defensive Back,Syracuse
7.0,172.0,Derrel Gofourth,Center,Oklahoma State
7.0,176.0,Rell Tipton,Guard,Baylor
8.0,206.0,David Whitehurst,Quarterback,Furman
9.0,233.0,Joel Mullins,Tackle,Arkansas State
10.0,260.0,Jim Culbreath,Running Back,Oklahoma
11.0,290.0,Terry Randolph,Defensive Back,American International
