Stage,Date,Route,Stage Winner,GC Leader
1.0,6 September,Lisbon - Estoril,Lars Michaelsen,Lars Michaelsen
2.0,7 September,Évora - Vilamoura,Marcel Wüst,Lars Michaelsen
3.0,8 September,Loulé - Huelva,Marcel Wüst,Lars Michaelsen
4.0,9 September,Huelva - Jerez de la Frontera,Eleuterio Anguita,Fabrizio Guidi
5.0,10 September,Jerez de la Frontera - Málaga,Marcel Wüst,Lars Michaelsen
6.0,11 September,Málaga - Granada,Laurent Jalabert,Laurent Jalabert
7.0,12 September,Guadix - Sierra Nevada,Yvon Ledanois,Laurent Dufaux
8.0,13 September,Granada - Córdoba,Bart Voskamp,Laurent Dufaux
9.0,14 September,Córdoba,Melchor Mauri,Alex Zülle
10.0,15 September,Córdoba - Almendralejo,Mariano Piccoli,Alex Zülle
11.0,16 September,Almendralejo - Plasencia,Ján Svorada,Alex Zülle
12.0,17 September,León - Alto del Morredero,Roberto Heras,Alex Zülle
13.0,18 September,Ponferrada - Estación Valgrande-Pajares,Pavel Tonkov,Alex Zülle
14.0,19 September,Oviedo - Alto del Naranco,José Vicente García Acosta,Alex Zülle
15.0,20 September,Oviedo - Lagos de Covadonga,Pavel Tonkov,Alex Zülle
16.0,21 September,Cangas de Onís - Santander,Ján Svorada,Alex Zülle
17.0,22 September,Santander - Burgos,Ján Svorada,Alex Zülle
18.0,23 September,Burgos - Valladolid,Leon van Bon,Alex Zülle
19.0,24 September,Valladolid - Los Ángeles de San Rafael,José María Jiménez,Alex Zülle
20.0,25 September,Los Ángeles de San Rafael - Ávila,Laurent Jalabert,Alex Zülle
21.0,26 September,Alcobendas,Alex Zülle,Alex Zülle
22.0,27 September,Madrid,Max Van Heeswijk,Alex Zülle
