No,Player,Height,Position,Year born,Current Club
4.0,Miloš Teodosić,1.96,Guard,1987.0,FMP Železnik
5.0,Branko Cvetković,2.00,Forward,1984.0,Akasvayu Girona
6.0,Vuk Radivojević,1.95,Guard,1983.0,Alta Gestión Fuenlabrada
7.0,Zoran Erceg,2.11,Center,1985.0,FMP Železnik
8.0,Dragan Labović,2.10,Forward,1986.0,FMP Železnik
9.0,Stefan Marković,1.99,Guard,1988.0,Hemofarm
10.0,Marko Jarić,2.01,Guard,1978.0,Minnesota Timberwolves
11.0,Darko Miličić,2.13,Center,1985.0,Memphis Grizzlies
12.0,Nemanja Aleksandrov,2.10,Center,1987.0,Red Star Belgrade
13.0,Novica Veličković,2.05,Forward,1986.0,Partizan
14.0,Milenko Tepić,2.02,Guard,1987.0,Partizan
