Episode #,Series #,Episode Title,Original air date,Production Code
53.0,1.0,"""Stars in Danger""",5July2010,301.0
54.0,2.0,"""The Break-up""",6July2010,302.0
55.0,3.0,"""Welcome to Paradisia""",7July2010,303.0
56.0,4.0,"""A New Strategy""",8July2010,304.0
57.0,5.0,"""Resonance""",4September2010,305.0
58.0,6.0,"""May the Show Begin!""",11September2010,306.0
59.0,7.0,"""Fathers and Sons""",18September2010,307.0
60.0,8.0,"""The Other Side of Paradisia""",25September2010,308.0
61.0,9.0,"""The Secret of Deep Stadium""",10October2011,309.0
62.0,10.0,"""Friends and Enemies""",11October2011,310.0
63.0,11.0,"""Battle for the Final""",12October2011,311.0
64.0,12.0,"""Betrayal on the Field""",13October2011,312.0
65.0,13.0,"""Endgame""",14October2011,313.0
66.0,14.0,"""A New Start""",15October2011,314.0
67.0,15.0,"""Crossed Fates""",16October2011,315.0
68.0,16.0,"""The Secrets of the Breath""",17October2011,316.0
69.0,17.0,"""Reconstituted Families""",18October2011,317.0
70.0,18.0,"""Sinedd’s Shadow""",19October2011,318.0
71.0,19.0,"""The Ghost of Paradisia""",20October2011,319.0
72.0,20.0,"""Walk for a Pirate""",21October2011,320.0
73.0,21.0,"""Farewell, Paradisia""",22October2011,321.0
74.0,22.0,"""All Together!""",23October2011,322.0
75.0,23.0,"""Lost Illusions""",24October2011,323.0
76.0,24.0,"""The Second Chance""",25October2011,324.0
77.0,25.0,"""On all Fronts""",26October2011,325.0
