Pick #,NFL Team,Player,Position,College
197.0,Denver Broncos,Gary Kubiak,Quarterback,Texas A&M
198.0,Houston Oilers,Robert Thompson,Linebacker,Michigan
199.0,Pittsburgh Steelers,Henry Odom,Running back,South Carolina State
200.0,Los Angeles Rams,Troy West,Defensive back,USC
201.0,Philadelphia Eagles,Rich Kraynak,Linebacker,Pittsburgh
202.0,San Diego Chargers,Earnest Jackson,Running back,Texas A&M
203.0,Chicago Bears,Richard Dent,Defensive end,Tennessee State
204.0,Kansas City Chiefs,Irv Eatman,Tackle,UCLA
205.0,New York Giants,Andy Headen,Linebacker,Clemson
206.0,New Orleans Saints,David Greenwood,Defensive back,Wisconsin
207.0,Buffalo Bills,James Durham,Defensive back,Houston
208.0,Detroit Lions,Bill Stapleton,Defensive back,Washington
209.0,Cleveland Browns,Mike McClearn,Guard,Temple
210.0,Seattle Seahawks,Matt Hernandez,Tackle,Purdue
211.0,St. Louis Cardinals,Bob Harris,Defensive back,Auburn
212.0,Tampa Bay Buccaneers,John Samuelson,Linebacker,Azusa Pacific
213.0,Minnesota Vikings,Norris Brown,Tight end,Georgia
214.0,New England Patriots,Ronnie Lippett,Defensive back,Miami (FL)
215.0,Atlanta Falcons,John Rade,Linebacker,Boise State
216.0,Green Bay Packers,Carlton Briscoe,Defensive back,McNeese State
217.0,New York Jets,Davlin Mullen,Defensive back,Western Kentucky
218.0,Pittsburgh Steelers,Craig Dunaway,Tight end,Michigan
219.0,Chicago Bears,Mark Bortz,Guard,Iowa
220.0,Dallas Cowboys,Lawrence Ricks,Running back,Michigan
221.0,Cincinnati Bengals,Mike Martin,Wide receiver,Illinois
222.0,Los Angeles Raiders,Mike Dotterer,Running back,Stanford
223.0,Miami Dolphins,Mark Clayton,Wide receiver,Louisville
