Week,Date,Time,Opponent,Result,NFL Recap
1.0,"September 7, 2008",1:05 p.m. (ET),Detroit Lions,W 34-21,Recap
2.0,"September 14, 2008",4:05 p.m.,at Tampa Bay Buccaneers,L 24-9,Recap
3.0,"September 21, 2008",1:05 p.m.,Kansas City Chiefs,W 38-14,Recap
4.0,"September 28, 2008",1:05 p.m.,at Carolina Panthers,L 24-9,Recap
5.0,"October 5, 2008",1:05 p.m.,at Green Bay Packers,W 27-24,Recap
6.0,"October 12, 2008",1:05 p.m.,Chicago Bears,W 22-20,Recap
7.0,"October 19, 2008",Bye week,Bye week,Bye week,Bye week
8.0,"October 26, 2008",1:05 p.m.,at Philadelphia Eagles,L 27-14,Recap
9.0,"November 2, 2008",4:15 p.m.,at Oakland Raiders,W 24-0,Recap
10.0,"November 9, 2008",1:05 p.m.,New Orleans Saints,W 34-20,Recap
11.0,"November 16, 2008",1:05 p.m.,Denver Broncos,L 24-20,Recap
12.0,"November 23, 2008",4:15 p.m.,Carolina Panthers,W 45-28,Recap
13.0,"November 30, 2008",4:05 p.m.,at San Diego Chargers,W 22–16,Recap
14.0,"December 7, 2008",1:05 p.m.,at New Orleans Saints,L 29-25,Recap
15.0,"December 14, 2008",1:05 p.m.,Tampa Bay Buccaneers,W 13–10,Recap
16.0,"December 21, 2008",4:15 p.m.,at Minnesota Vikings,W 24–17,Recap
17.0,"December 28, 2008",1:05 p.m.,St. Louis Rams,W 31–27,Recap
