Res.,Record,Opponent,Method,Event,Round,Location
Win,36-10-1 (2),Chuck Grigsby,TKO (punches),Mainstream MMA - Inferno,1.0,"Iowa , United States"
Win,35-10-1 (2),Paul O'Keefe,Submission (arm triangle choke),KOTC - Predator,1.0,"Arizona , United States"
Loss,34-10-1 (2),Tony Bonello,Submission (strikes),KOTC - Unfinished Business,1.0,Australia
NC,34-9-1 (2),Tony Bonello,No Contest,KOTC - Gunfather,1.0,Australia
Loss,34-9-1 (1),Eric Pele,TKO (punches),KOTC - Mortal Sins,2.0,"Nevada , United States"
Loss,34-8-1 (1),Leopoldo Montenegro,Submission (triangle choke),Jungle Fight 3,1.0,"Manaus , Brazil"
Win,34-7-1 (1),Ruben Villareal,Submission (armbar),KOTC 37 - Hitmaster,1.0,"California , United States"
Loss,33-7-1 (1),Carlos Barreto,Submission (punches),Jungle Fight 2,2.0,"Manaus , Brazil"
Win,33-6-1 (1),Mike Wolmack,KO (knee),GC 25 - Gladiator Challenge 25,1.0,"California , United States"
Win,32-6-1 (1),Ladislav Zak,Decision (split),2H2H - 2 Hot 2 Handle,3.0,Netherlands
Loss,31-6-1 (1),Paul Buentello,Submission (verbal),KOTC 30 - The Pinnacle,2.0,"California , United States"
Win,31-5-1 (1),Paul Buentello,Decision (unanimous),KOTC 27 - Aftermath,3.0,"California , United States"
Win,30-5-1 (1),Jason Godsey,TKO (punches),KOTC 21 - Invasion,1.0,Mexico
Win,29-5-1 (1),Sam Sotello,Submission (injury),KOTC 21 - Invasion,2.0,Mexico
Loss,28-5-1 (1),Josh Barnett,TKO (strikes),UFC 34,2.0,"Nevada , United States"
Win,28-4-1 (1),Tim Catalfo,Submission (strikes),KOTC 11 - Domination,1.0,"California , United States"
Win,27-4-1 (1),Mikhail Ilyukhin,TKO (corner stoppage),Rings: 10th Anniversary,2.0,"Tokyo , Japan"
Win,26-4-1 (1),Kauai Kupihea,Submission (strikes),KOTC 9 - Showtime,2.0,"California , United States"
Draw,25-4-1 (1),Bob Schrijber,Draw,"Rings Holland: No Guts, No Glory",2.0,Netherlands
Win,25-4 (1),Ryushi Yanagisawa,Decision (unanimous),Rings: World Title Series 1,2.0,"Tokyo , Japan"
Win,24-4 (1),Zane Frazier,Submission (armbar),Rings USA: Battle of Champions,1.0,"Iowa , United States"
NC,23-4 (1),Mark Robinson,NC,UFC 30,1.0,"New Jersey , United States"
Loss,23-4,Volk Han,Decision (unanimous),Rings: King of Kings 2000 Block B,3.0,"Osaka , Japan"
Win,23-3,Joop Kasteel,KO (punches),Rings: King of Kings 2000 Block B,1.0,"Osaka , Japan"
Win,22-3,Aaron Brink,Submission (punches),Rings USA: Rising Stars Final,1.0,"Illinois , United States"
Win,21-3,Eric Pele,Decision (unanimous),Rings USA: Rising Stars Final,3.0,"Illinois , United States"
Loss,20-3,Maurice Smith,Decision (unanimous),UFC 27,3.0,"Louisiana , United States"
Win,20-2,Greg Wikan,TKO (punches),EC 36 - Extreme Challenge 36,1.0,"Iowa , United States"
Win,19-2,Victor Burtsev,TKO (punches),Rings USA: Rising Stars Block A,1.0,"Utah , United States"
Win,18-2,Aaron Brink,Submission (neck crank),Rings USA: Rising Stars Block A,1.0,"Utah , United States"
Win,17-2,Sam Adkins,TKO (doctor stoppage),EC 35 - Extreme Challenge 35,1.0,"Iowa , United States"
Win,16-2,Alistair Overeem,KO (punch),Rings: Millennium Combine 2,1.0,"Tokyo , Japan"
Win,15-2,Kerry Schall,Decision (unanimous),WEF 9 - World Class,4.0,"Indiana , United States"
Win,14-2,Borislav Jeliazkov,KO (punch),Rings: Millennium Combine 1,1.0,"Tokyo , Japan"
Win,13-2,Zaza Tkeshelashvili,KO (punch),Rings: King of Kings 1999 Final,1.0,"Tokyo , Japan"
Win,12-2,Alex Paz,Submission (strikes),WEF 8 - Goin' Platinum,2.0,"Georgia , United States"
Win,11-2,Paul Wells,TKO,CC 5 - Cage Combat 5,1.0,"Iowa , United States"
Win,10-2,Ricco Rodriguez,KO (punches),SB 13 - SuperBrawl 13,1.0,"Hawaii , United States"
Win,9-2,Heath Herring,Decision (unanimous),SB 13 - SuperBrawl 13,2.0,"Hawaii , United States"
Loss,8-2,Josh Barnett,Decision (unanimous),SB 13 - SuperBrawl 13,3.0,"Hawaii , United States"
Win,8-1,Ahmad Ahmad,TKO,EC 27 - Extreme Challenge 27,1.0,"Iowa , United States"
Win,7-1,Tom Sauer,Submission (guillotine choke),EC 27 - Extreme Challenge 27,1.0,"Iowa , United States"
Win,6-1,Theo Brooks,Submission (fatigue),CC 2 - Cage Combat 2,1.0,"Iowa , United States"
Win,5-1,Joe Campanella,Submission (keylock),EC 24 - Extreme Challenge 24,1.0,"Utah , United States"
Win,4-1,Rocky Batastini,Decision,EC 24 - Extreme Challenge 24,1.0,"Utah , United States"
Win,3-1,Mark Tullius,Submission,EC 20 - Extreme Challenge 20,1.0,"Iowa , United States"
Win,2-1,Brad Jones,TKO (referee stoppage),EC 16 - Extreme Challenge 16,1.0,"Iowa , United States"
Win,1-1,Rick Graveson,N/A,RnB 2 - Bare Knuckle Brawl,1.0,"Georgia , United States"
Loss,0-1,Mike Delaney,Decision,RnB 2 - Bare Knuckle Brawl,1.0,"Georgia , United States"
