Region,Citation,Court of Appeals,Established,Judges,Meeting places,Chief judge
Northern District of Alabama,N.D. Ala.,11th,1820.0,8.0,8.0,Sharon Lovelace Blackburn
Middle District of Alabama,M.D. Ala.,11th,1839.0,3.0,3.0,William Keith Watkins
Southern District of Alabama,S.D. Ala.,11th,1820.0,3.0,2.0,William H. Steele
District of Alaska,D. Alaska,9th,1958.0,3.0,5.0,Ralph R. Beistline
District of Arizona,D. Ariz.,9th,1910.0,13.0,4.0,Raner C. Collins
Eastern District of Arkansas,E.D. Ark.,8th,1836.0,5.0,5.0,Brian Stacy Miller
Western District of Arkansas,W.D. Ark.,8th,1836.0,3.0,6.0,Paul K. Holmes III
Central District of California,C.D. Cal.,9th,1966.0,28.0,4.0,George H. King
Eastern District of California,E.D. Cal.,9th,1966.0,6.0,3.0,"Morrison C. England, Jr."
Northern District of California,N.D. Cal.,9th,1850.0,14.0,4.0,Claudia Ann Wilken
Southern District of California,S.D. Cal.,9th,1850.0,13.0,1.0,Barry Ted Moskowitz
District of Colorado,D. Col. or D. Colo.,10th,1876.0,7.0,8.0,Marcia S. Krieger
District of Connecticut,D. Conn.,2nd,1789.0,8.0,5.0,Alvin W. Thompson
District of Delaware,D. Del.,3rd,1789.0,4.0,1.0,Gregory Moneta Sleet
District of Columbia,D.D.C.,DC,1802.0,15.0,1.0,Richard W. Roberts
Northern District of Florida,N.D. Fla. or N.D. Fl.,11th,1845.0,4.0,6.0,Margaret Catharine Rodgers
Middle District of Florida,M.D. Fla. or M.D. Fl.,11th,1962.0,15.0,8.0,Anne C. Conway
Southern District of Florida,S.D. Fla. or S.D. Fl.,11th,1845.0,18.0,5.0,Federico A. Moreno
Northern District of Georgia,N.D. Ga.,11th,1789.0,11.0,4.0,Julie E. Carnes
Middle District of Georgia,M.D. Ga.,11th,1926.0,4.0,7.0,C. Ashley Royal
Southern District of Georgia,S.D. Ga.,11th,1789.0,3.0,6.0,Lisa Godbey Wood
District of Guam,D. Guam,9th,1951.0,1.0,1.0,Frances Marie Tydingco-Gatewood
District of Hawaii,D. Haw.,9th,1959.0,4.0,1.0,Susan Oki Mollway
District of Idaho,D. Idaho,9th,1890.0,2.0,4.0,B. Lynn Winmill
Northern District of Illinois,N.D. Ill.,7th,1819.0,22.0,4.0,Ruben Castillo
Central District of Illinois,C.D. Ill.,7th,1978.0,4.0,6.0,James E. Shadid
Southern District of Illinois,S.D. Ill.,7th,1819.0,4.0,4.0,David R. Herndon
Northern District of Indiana,N.D. Ind.,7th,1817.0,5.0,4.0,Philip P. Simon
Southern District of Indiana,S.D. Ind.,7th,1817.0,5.0,5.0,Richard L. Young
Northern District of Iowa,N.D. Iowa,8th,1845.0,2.0,6.0,Linda R. Reade
Southern District of Iowa,S.D. Iowa,8th,1845.0,3.0,6.0,James E. Gritzner
District of Kansas,D. Kan.,10th,1861.0,6.0,9.0,Kathryn Hoefer Vratil
Eastern District of Kentucky,E.D. Ky.,6th,1789.0,6.0,9.0,Karen K. Caldwell
Western District of Kentucky,W.D. Ky.,6th,1789.0,5.0,4.0,"Joseph H. McKinley, Jr."
Eastern District of Louisiana,E.D. La.,5th,1804.0,12.0,2.0,Sarah S. Vance
Middle District of Louisiana,M.D. La.,5th,1971.0,3.0,1.0,Brian Anthony Jackson
Western District of Louisiana,W.D. La.,5th,1804.0,7.0,6.0,Dee D. Drell
District of Maine,D. Me.,1st,1789.0,3.0,2.0,"John A. Woodcock, Jr."
District of Maryland,D. Md.,4th,1789.0,10.0,4.0,Deborah K. Chasanow
District of Massachusetts,D. Mass.,1st,1789.0,13.0,4.0,Patti B. Saris
Eastern District of Michigan,E.D. Mich.,6th,1836.0,15.0,5.0,Gerald Ellis Rosen
Western District of Michigan,W.D. Mich.,6th,1836.0,4.0,6.0,Paul Lewis Maloney
District of Minnesota,D. Minn.,8th,1858.0,7.0,6.0,Michael J. Davis
Northern District of Mississippi,N.D. Miss.,5th,1818.0,3.0,7.0,Michael P. Mills
Southern District of Mississippi,S.D. Miss.,5th,1818.0,6.0,7.0,"Louis Guirola, Jr."
Eastern District of Missouri,E.D. Mo.,8th,1822.0,9.0,3.0,Catherine D. Perry
Western District of Missouri,W.D. Mo.,8th,1822.0,7.0,5.0,"Fernando J. Gaitan, Jr."
District of Montana,D. Mont.,9th,1889.0,3.0,11.0,Dana L. Christensen
District of Nebraska,D. Neb.,8th,1867.0,3.0,3.0,Laurie Smith Camp
District of Nevada,D. Nev.,9th,1865.0,7.0,6.0,Robert Clive Jones
District of New Hampshire,D.N.H.,1st,1789.0,3.0,2.0,Joseph Normand Laplante
District of New Jersey,D.N.J.,3rd,1798.0,17.0,6.0,Jerome B. Simandle
District of New Mexico,D.N.M.,10th,1910.0,7.0,3.0,M. Christina Armijo
Eastern District of New York,E.D.N.Y,2nd,1865.0,15.0,4.0,Carol Bagley Amon
Northern District of New York,N.D.N.Y,2nd,1789.0,5.0,8.0,Gary L. Sharpe
Southern District of New York,S.D.N.Y.,2nd,1789.0,28.0,3.0,Loretta A. Preska
Western District of New York,W.D.N.Y,2nd,1900.0,4.0,5.0,William M. Skretny
Eastern District of North Carolina,E.D.N.C.,4th,1790.0,4.0,7.0,James C. Dever III
