Stadium,Capacity,City,Region,Home Team,Opened
Stade de France,81338.0,Paris,Île-de-France,France national football team,1998.0
Stade Vélodrome,60013.0,Marseille,Provence-Alpes-Côte d'Azur,Olympique de Marseille,1937.0
Grand Stade Lille Métropole,50186.0,Villeneuve-d'Ascq,Nord-Pas-de-Calais,Lille OSC,2012.0
Parc des Princes,48712.0,Paris,Île-de-France,Paris Saint-Germain FC,1897.0
Stade Félix Bollaert,41233.0,Lens,Nord-Pas-de-Calais,RC Lens,1932.0
Stade Gerland,41044.0,Lyon,Rhône-Alpes,Olympique Lyonnais,1926.0
Stade de la Beaujoire,38285.0,Nantes,Pays de la Loire,FC Nantes Atlantique,1984.0
Allianz Riviera,35624.0,Nice,Provence-Alpes-Côte d'Azur,OGC Nice,2013.0
Stade Geoffroy-Guichard,35616.0,Saint-Étienne,Rhône-Alpes,AS Saint-Étienne,1931.0
Stadium Municipal,35575.0,Toulouse,Midi-Pyrénées,Toulouse FC,1937.0
Stade Chaban-Delmas,34462.0,Bordeaux,Aquitaine,FC Girondins de Bordeaux,1938.0
Stade de la Mosson,32939.0,Montpellier,Languedoc-Roussillon,Montpellier HSC,1972.0
Stade de la Route de Lorient,31127.0,Rennes,Brittany,Stade Rennais FC,1912.0
Stade de la Meinau,29230.0,Strasbourg,Alsace,RC Strasbourg,1914.0
Stade Municipal Saint-Symphorien,26700.0,Metz,Lorraine,FC Metz,1923.0
Grand Stade du Havre,25178.0,Le Havre,Upper Normandy,Le Havre AC,2012.0
MMArena,25000.0,Le Mans,Pays de la Loire,Le Mans UC,2011.0
Stade du Hainaut,24926.0,Valenciennes,Nord-Pas-de-Calais,Valenciennes FC,2011.0
Stade de l'Abbé-Deschamps,23467.0,Auxerre,Bourgogne,AJ Auxerre,1918.0
Stade Louis Dugauguez,23189.0,Sedan,Champagne-Ardenne,Club Sportif Sedan Ardennes,2000.0
Stade Michel d'Ornano,22500.0,Caen,Lower Normandy,Stade Malherbe Caen,1993.0
Stade Auguste-Delaune,21684.0,Reims,Champagne-Ardenne,Stade Reims,1935.0
Stade de l'Aube,20400.0,Troyes,Champagne-Ardenne,Troyes AC,1956.0
Stade Marcel Picot,20087.0,Tomblaine,Lorraine,AS Nancy,1926.0
Stade des Alpes,20068.0,Grenoble,Rhône-Alpes,Grenoble Foot 38,2008.0
Stade Auguste Bonal,20025.0,Montbéliard,Franche-Comté,FC Sochaux-Montbéliard,2000.0
Stade Sébastien Charléty,20000.0,Paris,Île-de-France,Paris FC,1938.0
