Fiscal year,2-car sets,4-car sets,6-car sets,8-car sets,Total vehicles
1963.0,0.0,15.0,0.0,0.0,60.0
1964.0,8.0,15.0,0.0,0.0,76.0
1965.0,21.0,21.0,0.0,0.0,126.0
1966.0,27.0,27.0,0.0,0.0,162.0
1967.0,39.0,36.0,0.0,0.0,222.0
1968.0,47.0,43.0,0.0,0.0,266.0
1969.0,58.0,51.0,0.0,0.0,320.0
1970.0,62.0,55.0,0.0,0.0,344.0
1971.0,62.0,42.0,13.0,0.0,370.0
1972.0,62.0,41.0,17.0,0.0,390.0
1973.0,63.0,41.0,22.0,0.0,422.0
1974.0,68.0,41.0,25.0,0.0,450.0
1976.0,70.0,41.0,31.0,0.0,490.0
1977.0,70.0,41.0,31.0,5.0,530.0
1978.0,70.0,42.0,31.0,9.0,566.0
1979.0,70.0,42.0,31.0,14.0,606.0
1980.0,73.0,45.0,32.0,16.0,646.0
1981.0,75.0,47.0,33.0,16.0,664.0
