No. in series,No. in season,Title,Directed by,Written by,Original air date,Production code,U.S. viewers (millions)
16.0,1.0,""" American Duos """,John Landis,Steve Franks & James Roday,"July13,2007",2002.0,4.33
17.0,2.0,"""65 Million Years Off""",Tim Matheson,Steve Franks,"July20,2007",2003.0,N/A
18.0,3.0,"""Psy vs. Psy""",Mel Damski,Andy Berman,"July27,2007",2001.0,N/A
19.0,4.0,"""Zero to Murder in Sixty Seconds""",Stephen Surjik,Saladin K. Patterson,"August3,2007",2004.0,N/A
20.0,5.0,"""And Down the Stretch Comes Murder""",Michael Zinberg,Josh Bycel,"August10,2007",2005.0,4.43
21.0,6.0,"""Meat Is Murder, But Murder Is Also Murder""",Eric Laneuville,Daniel Hsia,"August17,2007",2006.0,N/A
22.0,7.0,"""If You're So Smart, Then Why Are You Dead?""",Arlene Sanford,Anupam Nigam,"August24,2007",2007.0,4.25
23.0,8.0,"""Rob-a-Bye Baby""",Paul Lazarus,Tami Sagher,"September7,2007",2008.0,3.97
24.0,9.0,"""Bounty Hunters!""",John Badham,Andy Berman,"September14,2007",2009.0,4.15
25.0,10.0,"""Gus's Dad May Have Killed an Old Guy""",Oz Scott,Saladin K. Patterson,"December7,2007",2011.0,N/A
26.0,11.0,"""There's Something About Mira""",Joanna Kerns,Josh Bycel & Daniel Hsia,"January11,2008",2012.0,N/A
27.0,12.0,"""The Old and the Restless""",Jason Ensler,Anupam Nigam,"January18,2008",2013.0,N/A
28.0,13.0,"""Lights, Camera... Homicidio""",Matt Shakman,Andy Berman,"January25,2008",2015.0,N/A
29.0,14.0,"""Dis-Lodged""",Mel Damski,Tim Meltreger,"February1,2008",2010.0,N/A
30.0,15.0,"""Black and Tan: A Crime of Fashion""",Mel Damski,Steve Franks & James Roday,"February8,2008",2014.0,N/A
