Heat,Lane,Name,Nationality,Time
4.0,4.0,Brooke Bennett,United States,8:26.47
3.0,2.0,Yana Klochkova,Ukraine,8:29.84
3.0,4.0,Kaitlin Sandeno,United States,8:30.12
2.0,4.0,Flavia Rigamonti,Switzerland,8:30.44
4.0,5.0,Hannah Stockbauer,Germany,8:31.74
3.0,5.0,Jana Henke,Germany,8:31.86
4.0,3.0,Sachiko Yamada,Japan,8:33.06
3.0,7.0,Chen Hua,China,8:33.23
4.0,6.0,Janelle Atkinson,Jamaica,8:34.51
3.0,3.0,Kirsten Vlieghuis,Netherlands,8:35.80
2.0,5.0,Chantal Strasser,Switzerland,8:35.84
4.0,2.0,Rachel Harris,Australia,8:36.94
2.0,3.0,Hayley Lewis,Australia,8:38.75
3.0,6.0,Éva Risztov,Hungary,8:43.07
2.0,2.0,Rebecca Cooke,Great Britain,8:43.22
2.0,7.0,Karine Legault,Canada,8:43.56
3.0,1.0,Irina Ufimtseva,Russia,8:44.64
4.0,8.0,Mirjana Bosevska,Macedonia,8:46.39
2.0,8.0,Hana Černá,Czech Republic,8:47.64
1.0,3.0,Ivanka Moralieva,Bulgaria,8:52.61
1.0,4.0,Patricia Villarreal,Mexico,8:54.79
3.0,8.0,Marianna Lymperta,Greece,8:56.33
2.0,6.0,Olga Beresnyeva,Ukraine,9:00.12
1.0,5.0,Lin Chi-Chan,Chinese Taipei,9:01.09
2.0,1.0,Adi Bichman,Israel,9:01.90
1.0,6.0,Cecilia Biagioli,Argentina,9:04.02
4.0,1.0,Claudia Poll,Costa Rica,DNS
4.0,7.0,Joanne Malar,Canada,DNS
