Rank,Year,Name,Moving from,Moving to
1.0,2013.0,Willian,Shakhtar Donetsk,Anzhi Makhachkala
2.0,2009.0,Dmytro Chygrynskiy,Shakhtar Donetsk,Barcelona
3.0,1999.0,Andriy Shevchenko,Dynamo Kyiv,Milan
4.0,2007.0,Anatoliy Tymoschuk,Shakhtar Donetsk,Zenit St. Petersburg
5.0,2000.0,Serhiy Rebrov,Dynamo Kyiv,Tottenham Hotspur
6.0,2007.0,Elano,Shakhtar Donetsk,Manchester City
7.0,2007.0,Matuzalém,Shakhtar Donetsk,Real Zaragoza
8.0,2009.0,Ismaël Bangoura,Dynamo Kyiv,Rennes
9.0,2000.0,Kakha Kaladze,Dynamo Kyiv,Milan
10.0,2007.0,Ciprian Marica,Shakhtar Donetsk,Stuttgart
