Game,Date,Opponent,Result,Falcons points,Opponents,Record,Attendance
1.0,Sept. 3,Houston Oilers,Win,20.0,14.0,1-0,57328.0
2.0,Sept. 10,at Los Angeles Rams,Loss,0.0,10.0,1-1,46201.0
3.0,Sept. 17,Cleveland Browns,Loss,16.0,24.0,1-2,56648.0
4.0,Sept. 24,at Tampa Bay Buccaneers,Loss,9.0,14.0,1-3,58073.0
5.0,Oct. 1,New York Giants,Win,23.0,20.0,2-3,47765.0
6.0,Oct. 8,at Pittsburgh Steelers,Loss,7.0,31.0,2-4,48202.0
7.0,Oct. 15,Detroit Lions,Win,14.0,0.0,3-4,51172.0
8.0,Oct. 22,at San Francisco 49ers,Win,20.0,17.0,4-4,44235.0
9.0,Oct. 30,Los Angeles Rams,Win,15.0,7.0,5-4,57250.0
10.0,Nov. 5,San Francisco 49ers,Win,21.0,10.0,6-4,55468.0
11.0,Nov. 12,at New Orleans Saints,Win,20.0,17.0,7-4,70323.0
12.0,Nov. 19,at Chicago Bears,Loss,7.0,13.0,7-5,46022.0
13.0,Nov. 26,New Orleans Saints,Win,20.0,17.0,8-5,55121.0
14.0,Dec. 3,at Cincinnati Bengals,Loss,7.0,37.0,8-6,25336.0
15.0,Dec. 10,Washington Redskins,Win,20.0,17.0,9-6,54176.0
16.0,Dec. 17,at St. Louis Cardinals,Loss,21.0,42.0,9-7,40022.0
